SUMMARY
Validation target was main HEAD 3cc63c55ed04df7035c1c06a8cc754e20a0b1ce1, not current working-tree source. Method: read staging CHANNEL_GRAPH.md, then enumerate production handler source through git show main:<file>; tests and docs were not counted as runtime readers or writers. Direct stack writes, produced_channels/producers, direct stack.get reads, and stack helper reads such as _stack_attr(stack, ...), _stack_value(stack, ...), and _array_or_none(stack, ...) were counted. Result: most staging claims stay directionally valid, but several are not literal orphan channels. corruption_map is still a real orphan write: biome_channels writes and declares it, but no production stack reader consumes it. forest_mask, material_zones, and legacy water_depth are still read-orphans. The four structural labels are not literal orphans because terrain_labels writes and declares them, but staging is correct that the writer is only a validator/preserver that zero-fills when no upstream generator stamped real masks. That makes their consumer chain semantically broken, not absent. water_surface_mask, water_surface_elevation_m, and water_depth_m are wired on main. Their reader sets have moved since the staging graph, and several consumers still read them without matching consumed_channels declarations. Spec names water_surface_z, shoreline_mask, wet_fetch, flow_velocity_xy, foam_potential, waterfall_mask, wave_fetch, and wet_zone_override are absent from production stack use; these are spec/code vocabulary gaps, not runtime orphan reads. weathering_timeline is not a stack channel at all; it is a source tag/function area that mutates wetness and should be tracked under wetness ownership/override rules. New orphan surfaced outside the staging orphan list: height_m. pass_water_depth reads and declares height_m, but main has no stack writer for height_m; it falls back to height, so height_m should be optional or removed from consumed_channels unless a real producer is added. Biggest declaration risk is scheduling, not just documentation: optional helper reads are invisible to PassDAG. Fix order should prioritize water_depth migration, label stamping, forest/material producers, then declaration cleanup before relying on graph-driven validation gates in CI or PR review now.

channel_name	current_claim	verified_writers (file:line list)	verified_readers (file:line list)	status (VALID/STALE/NEW_ORPHAN)	corrective_action
corruption_map	Claimed orphan write from biome_channels; no production stack reader.	veilbreakers_terrain/handlers/terrain_pipeline.py:1168; veilbreakers_terrain/handlers/terrain_pipeline.py:1170; veilbreakers_terrain/handlers/terrain_pipeline.py:1187	NONE	VALID	Delete channel from biome_channels or wire real consumer, likely macro_color/unity sidecar; do not keep dead write.
weathering_timeline	Claimed in graph as wetness writer/race source, but requested as channel.	NONE	NONE	STALE	Not a stack channel. Track as wetness writer source. If registered as pass, declare overrides=("wetness",) or keep future-use unregistered.
water_surface_mask	Claimed canonical binary mask, wired, not orphan.	veilbreakers_terrain/handlers/terrain_water_variants.py:691; veilbreakers_terrain/handlers/terrain_water_variants.py:864; veilbreakers_terrain/handlers/terrain_water_variants.py:868; veilbreakers_terrain/handlers/terrain_water_variants.py:895	veilbreakers_terrain/handlers/_water_network.py:815; veilbreakers_terrain/handlers/_water_network_ext.py:358; veilbreakers_terrain/handlers/_water_network_ext.py:636; veilbreakers_terrain/handlers/atmospheric_volumes.py:1069; veilbreakers_terrain/handlers/environment_scatter.py:700; veilbreakers_terrain/handlers/procedural_grass.py:356; veilbreakers_terrain/handlers/terrain_assets.py:299; veilbreakers_terrain/handlers/terrain_audio_zones.py:607; veilbreakers_terrain/handlers/terrain_navmesh_export.py:199; veilbreakers_terrain/handlers/terrain_navmesh_export.py:327; veilbreakers_terrain/handlers/terrain_saliency.py:465; veilbreakers_terrain/handlers/terrain_unity_export.py:2077; veilbreakers_terrain/handlers/terrain_unity_export.py:2309; veilbreakers_terrain/handlers/terrain_visual_qa.py:544; veilbreakers_terrain/handlers/terrain_water_variants.py:853; veilbreakers_terrain/handlers/terrain_waterfalls.py:1782; veilbreakers_terrain/handlers/terrain_waterfalls.py:2341; veilbreakers_terrain/handlers/terrain_wildlife_zones.py:225	VALID	Not orphan. consumed_channels is incomplete in _water_network.pass_water_flow_speed, atmospheric_volumes, water_variants region merge, waterfalls, navmesh helper consumers, assets/audio/saliency/wildlife readers.
water_surface_elevation_m	Claimed canonical absolute Z, wired, not orphan.	veilbreakers_terrain/handlers/terrain_water_variants.py:865; veilbreakers_terrain/handlers/terrain_water_variants.py:868; veilbreakers_terrain/handlers/terrain_water_variants.py:895; veilbreakers_terrain/handlers/terrain_water_variants.py:1379; veilbreakers_terrain/handlers/terrain_water_variants.py:1380; veilbreakers_terrain/handlers/terrain_water_variants.py:1503; veilbreakers_terrain/handlers/terrain_water_variants.py:1521; veilbreakers_terrain/handlers/terrain_water_variants.py:1541	veilbreakers_terrain/handlers/coastline.py:1228; veilbreakers_terrain/handlers/procedural_grass.py:349; veilbreakers_terrain/handlers/terrain_assets.py:287; veilbreakers_terrain/handlers/terrain_pipeline.py:1299; veilbreakers_terrain/handlers/terrain_unity_export.py:2074; veilbreakers_terrain/handlers/terrain_visual_qa.py:545; veilbreakers_terrain/handlers/terrain_water_variants.py:854	VALID	Not orphan. Add missing consumed declarations for coastline, procedural_grass, terrain_assets, water_variants region merge, unity_export/visual QA if DAG scheduling matters.
water_depth_m	Claimed canonical delta, wired, not orphan.	veilbreakers_terrain/handlers/terrain_pipeline.py:1322; veilbreakers_terrain/handlers/terrain_pipeline.py:1329; veilbreakers_terrain/handlers/terrain_pipeline.py:1347	veilbreakers_terrain/handlers/terrain_assets.py:293; veilbreakers_terrain/handlers/terrain_waterfalls.py:1848	VALID	Not orphan. Declare optional consumption in terrain_assets and waterfalls if pass order should be enforced.
cliff_label	Claimed broken label chain: validator zero-stamps, no real generator stamps.	veilbreakers_terrain/handlers/terrain_pipeline.py:1098; veilbreakers_terrain/handlers/terrain_pipeline.py:1100; veilbreakers_terrain/handlers/terrain_pipeline.py:1118	veilbreakers_terrain/handlers/procedural_grass.py:334; veilbreakers_terrain/handlers/terrain_materials_v2.py:706; veilbreakers_terrain/handlers/vegetation_system.py:1616	VALID	Not literal orphan. Still semantically broken. Feature generators must stamp real cliff_label before terrain_labels; terrain_materials_v2/procedural_grass declarations must include label reads.
water_label	Claimed broken label chain: validator zero-stamps, no real generator stamps.	veilbreakers_terrain/handlers/terrain_pipeline.py:1097; veilbreakers_terrain/handlers/terrain_pipeline.py:1100; veilbreakers_terrain/handlers/terrain_pipeline.py:1118	veilbreakers_terrain/handlers/terrain_materials_v2.py:705	VALID	Not literal orphan. Still semantically broken. Water generator must stamp real water_label or materials consume zero masks.
rock_label	Claimed broken label chain: validator zero-stamps, no real generator stamps.	veilbreakers_terrain/handlers/terrain_pipeline.py:1095; veilbreakers_terrain/handlers/terrain_pipeline.py:1100; veilbreakers_terrain/handlers/terrain_pipeline.py:1118	veilbreakers_terrain/handlers/terrain_materials_v2.py:703	VALID	Not literal orphan. Still semantically broken. Rock/strata/cliff generators must stamp real rock_label; add material pass consumed declaration.
gravel_label	Claimed broken label chain: validator zero-stamps, no real generator stamps.	veilbreakers_terrain/handlers/terrain_pipeline.py:1096; veilbreakers_terrain/handlers/terrain_pipeline.py:1100; veilbreakers_terrain/handlers/terrain_pipeline.py:1118	veilbreakers_terrain/handlers/terrain_materials_v2.py:704	VALID	Not literal orphan. Still semantically broken. Talus/gravel generators must stamp real gravel_label; add material pass consumed declaration.
forest_mask	Claimed orphan read.	NONE	veilbreakers_terrain/handlers/terrain_god_ray_hints.py:205; veilbreakers_terrain/handlers/terrain_navmesh_export.py:186; veilbreakers_terrain/handlers/terrain_vegetation_depth.py:1560; veilbreakers_terrain/handlers/terrain_vegetation_depth.py:1562; veilbreakers_terrain/handlers/terrain_vegetation_depth.py:1669	VALID	Add forest_mask producer or migrate consumers to detail_density/canopy-derived masks. consumed_channels currently does not declare these reads.
material_zones	Claimed orphan read / phantom prerequisite in roughness_driver.	NONE	veilbreakers_terrain/handlers/terrain_roughness_driver.py:158	VALID	Either produce stack material_zones before roughness_driver or remove material_zones from roughness_driver consumed_channels and use material_weights/intent roughness map.
water_surface_z	Claimed spec §3.4 vocabulary name missing from code; closest code water_surface_elevation_m.	NONE	NONE	VALID	Rename spec to water_surface_elevation_m or add compatibility alias intentionally. No runtime orphan because no production reader exists.
water_depth	Claimed legacy/spec read orphan; only water_depth_m is produced.	NONE	veilbreakers_terrain/handlers/terrain_navmesh_export.py:194; veilbreakers_terrain/handlers/terrain_waterfalls.py:1850; veilbreakers_terrain/handlers/terrain_waterfalls.py:2490	VALID	Migrate readers to water_depth_m. Do not add new water_depth writer unless keeping legacy alias deliberately.
shoreline_mask	Claimed spec §3.4 name missing; closest code shoreline_blend.	NONE	NONE	VALID	Rename spec to shoreline_blend or implement real shoreline_mask. No runtime orphan because no production reader exists.
wet_fetch	Claimed spec §3.4 name missing from code.	NONE	NONE	VALID	Implement producer/consumer if required by drainage spec, or remove from spec channel contract.
