File,Qualified Name,Function,Line,Kind,Scope,R13 Batch,R12 Domain,R12 Strict Grade,R12 Remediation,Wiring Status,R13 Manual Grade,R13 Manual Action,R13 Evidence,R13 Best Practice Gap,R13 Reviewer
scripts/audit_test_guardrails.py,TestGuardrailVisitor,TestGuardrailVisitor,24,class,script,R13_batch_generic_script_01.csv,generic,D+,WIRE_OR_DEPRECATE,missing_wiring_row,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",Codex local manual review
scripts/audit_test_guardrails.py,TestGuardrailVisitor.__init__,__init__,25,method,script,R13_batch_generic_script_01.csv,generic,D+,WIRE_OR_DEPRECATE,missing_wiring_row,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",Codex local manual review
scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_FunctionDef,visit_FunctionDef,38,method,script,R13_batch_generic_script_01.csv,generic,D+,WIRE_OR_DEPRECATE,missing_wiring_row,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",Codex local manual review
scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_AsyncFunctionDef,visit_AsyncFunctionDef,45,method,script,R13_batch_generic_script_01.csv,generic,D+,WIRE_OR_DEPRECATE,missing_wiring_row,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",Codex local manual review
scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_Name,visit_Name,52,method,script,R13_batch_generic_script_01.csv,generic,D+,WIRE_OR_DEPRECATE,missing_wiring_row,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",Codex local manual review
scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_Call,visit_Call,63,method,script,R13_batch_generic_script_01.csv,generic,D+,WIRE_OR_DEPRECATE,missing_wiring_row,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",Codex local manual review
scripts/audit_test_guardrails.py,read_text,read_text,87,function,script,R13_batch_generic_script_01.csv,generic,D+,WIRE_OR_DEPRECATE,missing_wiring_row,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",Codex local manual review
scripts/audit_test_guardrails.py,classify_tags,classify_tags,91,function,script,R13_batch_generic_script_01.csv,generic,D+,WIRE_OR_DEPRECATE,missing_wiring_row,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",Codex local manual review
scripts/audit_test_guardrails.py,top_rows,top_rows,113,function,script,R13_batch_generic_script_01.csv,generic,D+,WIRE_OR_DEPRECATE,missing_wiring_row,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",Codex local manual review
scripts/audit_test_guardrails.py,main,main,117,function,script,R13_batch_generic_script_01.csv,generic,D+,WIRE_OR_DEPRECATE,missing_wiring_row,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",Codex local manual review
