Review Source,File,Qualified Name,Current R12 Grade,Manual Grade,Action,Evidence Summary,Best Practice Gap,Output Proof Present,Strict AAA Output Grade,Strict AAA Output Gate
local_generic_script_other,scripts/audit_test_guardrails.py,TestGuardrailVisitor,D+,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",No,C,BELOW_B_REMEDIATION_REQUIRED
local_generic_script_other,scripts/audit_test_guardrails.py,TestGuardrailVisitor.__init__,D+,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",No,C,BELOW_B_REMEDIATION_REQUIRED
local_generic_script_other,scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_FunctionDef,D+,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",No,C,BELOW_B_REMEDIATION_REQUIRED
local_generic_script_other,scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_AsyncFunctionDef,D+,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",No,C,BELOW_B_REMEDIATION_REQUIRED
local_generic_script_other,scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_Name,D+,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",No,C,BELOW_B_REMEDIATION_REQUIRED
local_generic_script_other,scripts/audit_test_guardrails.py,TestGuardrailVisitor.visit_Call,D+,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",No,C,BELOW_B_REMEDIATION_REQUIRED
local_generic_script_other,scripts/audit_test_guardrails.py,read_text,D+,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",No,C,BELOW_B_REMEDIATION_REQUIRED
local_generic_script_other,scripts/audit_test_guardrails.py,classify_tags,D+,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",No,C,BELOW_B_REMEDIATION_REQUIRED
local_generic_script_other,scripts/audit_test_guardrails.py,top_rows,D+,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",No,C,BELOW_B_REMEDIATION_REQUIRED
local_generic_script_other,scripts/audit_test_guardrails.py,main,D+,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",No,C,BELOW_B_REMEDIATION_REQUIRED
local_generic_script_other,scripts/batch_ingest_tripo_downloads.py,_is_supported,D+,C,KEEP_AS_TOOLING_ADD_CI_GATE_OR_DEPRECATE,"Manual script classification: audit/build helper, not runtime terrain generation. These callables should be graded as tooling unless wired into a required verification command.","B requires a maintained CI/runbook entry, deterministic output schema, and tests for stale audit rows or command failure modes.",No,C,BELOW_B_REMEDIATION_REQUIRED
