File,Qualified Name,Current R12 Grade,Manual Grade,Action,Evidence Summary,Best Practice Gap,Output Proof Present
veilbreakers_terrain/handlers/_terrain_depth.py,_fbm_noise2,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=2;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/_terrain_depth.py,_fbm_noise2._h,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=7,add direct tests,No
veilbreakers_terrain/handlers/_terrain_depth.py,generate_cave_entrance_mesh,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=3;refs=2,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/_terrain_noise.py,_PermTableNoise.__init__,D+,D+,WIRE_OR_DEPRECATE,missing_wiring_row;tests=16;refs=17,wire/deprecate,Yes
veilbreakers_terrain/handlers/_terrain_noise.py,_OpenSimplexWrapper.__init__,D+,D+,WIRE_OR_DEPRECATE,missing_wiring_row;tests=16;refs=17,wire/deprecate,Yes
veilbreakers_terrain/handlers/_water_network.py,WaterNetwork.__init__,D+,D+,WIRE_OR_DEPRECATE,missing_wiring_row;tests=16;refs=16,wire/deprecate,Yes
veilbreakers_terrain/handlers/_water_network.py,WaterNetwork.to_dict,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=2;refs=9,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/_water_network.py,WaterNetwork.from_dict,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=2;refs=3,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/animation_environment.py,_ease_in_cubic_tangent,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/animation_environment.py,_ease_out_cubic_tangent,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/animation_environment.py,_smooth_step_tangent,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/animation_environment.py,_make_kf,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_door_open_keyframes,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_animation_environment.py|veilbreakers_terrain/tests/test_animation_environment.py::test_door_open;contracts=dispatch_map,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_door_close_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_door_slam_keyframes,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_animation_environment.py|veilbreakers_terrain/tests/test_animation_environment.py::test_door_slam_has_bounce;contracts=dispatch_map,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_door_creak_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_gate_raise_keyframes,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_animation_environment.py|veilbreakers_terrain/tests/test_animation_environment.py::test_gate_raise_reaches_height;contracts=dispatch_map,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_gate_raise_keyframes._h,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=7,add direct tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_gate_raise_keyframes._dh,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_gate_lower_keyframes,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_animation_environment.py|veilbreakers_terrain/tests/test_animation_environment.py::test_gate_lower_has_bounce;contracts=dispatch_map,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_gate_lower_keyframes._h,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=7,add direct tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_gate_lower_keyframes._dh,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_drawbridge_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_shatter_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_wobble_collapse_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,_fire_val_tang,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_fire_flicker_keyframes,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_animation_environment.py|veilbreakers_terrain/tests/test_animation_environment.py::test_fire_flicker_scale_varies|veilbreakers_terrain/tests/test_animation_environment.py::test_fire_has_sway;contracts=dispatch_map,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_torch_sway_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,_stokes_drag_amp,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_flag_wind_keyframes,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_animation_environment.py|veilbreakers_terrain/tests/test_animation_environment.py::test_flag_has_segments;contracts=dispatch_map,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_banner_wind_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_chain_swing_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_rope_sway_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_trap_trigger_keyframes,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_animation_environment.py|veilbreakers_terrain/tests/test_animation_environment.py::test_trap_trigger_fast;contracts=dispatch_map,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_trap_reset_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_trap_idle_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_chest_open_keyframes,C+,B,PROMOTE_TO_B,runtime_primary;tests=veilbreakers_terrain/tests/test_animation_environment.py|veilbreakers_terrain/tests/test_animation_environment.py::test_chest_opens_to_angle;contracts=dispatch_map,none; maintain runtime wiring + direct tests + parent/runtime contract,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_chest_open_keyframes._h,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=7,add direct tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_chest_open_keyframes._dh,C,C,ADD_DIRECT_TESTS,helper_reachable;no_direct_tests;refs=1,add direct tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_lever_pull_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,generate_switch_toggle_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
veilbreakers_terrain/handlers/animation_environment.py,_candle_temp,C+,C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable;direct_tests=1;refs=1,prove parent contract or inline,Yes
veilbreakers_terrain/handlers/animation_environment.py,generate_candle_flicker_keyframes,C,C,ADD_DIRECT_TESTS,runtime_primary;no_direct_tests;refs=1,add direct runtime tests,No
