file,line,kind,callable,simple_name,grade_match_status,final_grade,r9_consensus,aaa_equivalent,weakness,upgrade
__init__.py,18,function,register_all,register_all,MISSING,,,,,
__init__.py,42,function,_build_command_handlers,_build_command_handlers,MISSING,,,,,
__init__.py,55,function,_try_register,_try_register,MISSING,,,,,
__init__.py,67,function,_make_signature_handler,_make_signature_handler,MISSING,,,,,
__init__.py,72,function,_handler,_handler,MISSING,,,,,
__init__.py,221,function,_handle_generate_coastline,_handle_generate_coastline,MISSING,,,,,
__init__.py,262,function,_handle_generate_world_map,_handle_generate_world_map,MISSING,,,,,
__init__.py,281,function,_handle_compute_light_placements,_handle_compute_light_placements,MISSING,,,,,
__init__.py,289,function,_handle_merge_lights,_handle_merge_lights,MISSING,,,,,
__init__.py,292,function,_handle_light_budget,_handle_light_budget,MISSING,,,,,
__init__.py,295,function,_handle_compute_probe_placements,_handle_compute_probe_placements,MISSING,,,,,
__init__.py,330,function,_handle_compute_atmospheric_placements,_handle_compute_atmospheric_placements,MISSING,,,,,
__init__.py,337,function,_handle_volume_mesh_spec,_handle_volume_mesh_spec,MISSING,,,,,
__init__.py,340,function,_handle_atmosphere_performance,_handle_atmosphere_performance,MISSING,,,,,
__init__.py,358,function,_handle_select_by_box,_handle_select_by_box,MISSING,,,,,
__init__.py,365,function,_handle_select_by_sphere,_handle_select_by_sphere,MISSING,,,,,
__init__.py,372,function,_handle_select_by_plane,_handle_select_by_plane,MISSING,,,,,
__init__.py,380,function,_handle_parse_selection_criteria,_handle_parse_selection_criteria,MISSING,,,,,
__init__.py,399,function,_handle_smooth_assembled_mesh,_handle_smooth_assembled_mesh,MISSING,,,,,
__init__.py,418,function,_handle_compute_paint_weights,_handle_compute_paint_weights,MISSING,,,,,
__init__.py,426,function,_handle_compute_paint_weights_uv,_handle_compute_paint_weights_uv,MISSING,,,,,
__init__.py,434,function,_handle_blend_colors,_handle_blend_colors,MISSING,,,,,
__init__.py,455,function,_handle_evaluate_mesh_quality,_handle_evaluate_mesh_quality,MISSING,,,,,
__init__.py,462,function,_handle_select_fix_action,_handle_select_fix_action,MISSING,,,,,
__init__.py,480,function,_handle_compute_weathered_vertex_colors,_handle_compute_weathered_vertex_colors,MISSING,,,,,
__init__.py,487,function,_handle_apply_structural_settling,_handle_apply_structural_settling,MISSING,,,,,
__init__.py,508,function,_handle_generate_env_keyframes,_handle_generate_env_keyframes,MISSING,,,,,
__init__.py,516,function,_make_generator_handler,_make_generator_handler,MISSING,,,,,
__init__.py,519,function,_h,_h,MISSING,,,,,
__init__.py,550,function,_get_or_build_session,_get_or_build_session,MISSING,,,,,
__init__.py,564,function,_handle_terrain_preview_apply,_handle_terrain_preview_apply,MISSING,,,,,
__init__.py,573,function,_handle_terrain_preview_state,_handle_terrain_preview_state,MISSING,,,,,
__init__.py,583,function,_handle_terrain_preview_reset,_handle_terrain_preview_reset,MISSING,,,,,
__init__.py,587,function,_handle_terrain_preview_diff,_handle_terrain_preview_diff,MISSING,,,,,
