File,Qualified Name,Current R12 Grade,Manual Grade,Action,Evidence Summary,Best Practice Gap
scripts/build_aaa_node_v1.py,_scatter_foliage,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/build_scene_v2.py,_make_tree,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/build_scene_v2.py,_scatter_trees,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/build_scene_v2.py,_scatter_rocks,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/build_scene_v2.py,_add_grass,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/build_scene_v3.py,make_broad_tree_mesh,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/build_scene_v3.py,scatter_trees,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/build_scene_v3.py,scatter_rocks,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/build_scene_v3.py,scatter_retired_model_provider_catalog,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/build_scene_v3.py,scatter_retired_model_provider_catalog._lod0,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/build_scene_v3.py,add_grass,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/ingest_retired_model_provider_asset.py,detect_category,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=Y;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/ingest_retired_model_provider_asset.py,resolve_asset_id,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/ingest_retired_model_provider_asset.py,build_job,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=Y;call=N;proof=N,scatter: rendered species/density/LOD proof missing
scripts/ingest_retired_model_provider_asset.py,extract_if_zip,D+,D+,WIRE_OR_DEPRECATE,w=misswire;dt=N;call=N;proof=N,scatter: rendered species/density/LOD proof missing
