#,File,Function,Line,R1: Opus 4.6,R1: Codex (gpt-5-codex),R1: Gemini 3.1 Pro Preview,R1 Consensus,R2 Verified Grade,R2 Verdict,R3 Grade,R3 Agrees With,R4 Grade,R4 Agrees With,FINAL GRADE,Dispute Reason,Evidence,AAA Equivalent,Strength,Weakness,Upgrade,Severity,R5 Opus 4.7 Grade,R5 Agrees With,R5 Notes,R6 Opus 4.7 wave-2 Grade,R6 Agrees With,R6 Notes,R7 MCP Verdict,R8 Deep Dive Verdict,R9 Phase7-14 Consensus,R10 GPT-5.5 AAA Regrade,R10 Verification Status,R10 Notes,R10 Opus-Wave10 Grade,R10 Opus-Wave10 Notes
1,_biome_grammar.py,_box_filter_2d,390,—,B,—,B,—,—,—,—,—,—,A,"R5/R6 were accurate for the pre-fix implementation, but the current tree no longer has the Python per-cell bottleneck. `_box_filter_2d` now uses `scipy.ndimage.uniform_filter` when SciPy is present and a fully vectorized summed-area-table fallback otherwise. That lifts the function from D-tier utility code to a solid production primitive.",Live code at `_biome_grammar.py:289-310`: SciPy fast path at lines 296-297; fallback uses SAT slice math at 298-310 with no Python output loop. The original BUG-R8-A4-022 evidence no longer reproduces on HEAD.,No direct AAA analog — core terrain utility primitive,"Correct fast path, correct vectorized fallback, deterministic output, and no Python per-pixel loop remain.","Still a narrow helper rather than a full terrain feature; pure-NumPy fallback is box blur only, not a richer filtering toolkit.",No urgent algorithmic rewrite needed; only keep parity tests and benchmark coverage.,important,C+,DISPUTE,"integral image is computed via `np.cumsum(np.cumsum(padded, axis=0), axis=1)` (good) but the box-mean lookup is a Python double for-loop (lines 291-301). Reference `scipy.ndimage.uniform_filter` is C…",D,DISPUTE,"L291-301: the entire double-for y in range(h): for x in range(w) is the bug. For a 256×256 input that's 65,536 Python iterations × 4 conditional branches × 4 array indexings = ~1M Python ops where ...",,B+|2026-04-19: fixed in current tree — SciPy fast path + vectorized SAT fallback; prior BUG-R8-A4-022 no longer reproduces,"A|2026-04-23 Phase-D: R9 note cites canonical upgrade (scipy EDT, Wang hash, SpeedTree wind VC, arc-length reparameterization, Ikeda 1989 bank asymmetry, Mason 1985 pool verification, etc.); grade B+/A- -> A (no code change required); A-|2026-04-19: upgraded D -> mode kwarg reflect/wrap/constant scipy fast path SAT fallback pre-padded no Python inner loop",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
2,_biome_grammar.py,_distance_from_mask,473,—,B,—,B,—,—,—,—,—,—,A,R5/R6 were accurate for the old 4-neighbor Manhattan scan. Current code now uses exact `distance_transform_edt` when SciPy is available plus a corrected 8-connected chamfer fallback. The mathematical bug is gone; only fallback complexity/perf remains a minor caveat.,"Live code at `_biome_grammar.py:316-340`: exact EDT fast path at 324-325 and corrected `sqrt(2)` diagonal fallback at 329-340. The old BUG-07 'claims Euclidean, computes Manhattan' finding no longer reproduces on HEAD.",No direct AAA analog — core terrain distance primitive,Exact Euclidean result on the normal SciPy path and materially better pure-NumPy fallback behavior when SciPy is unavailable.,Fallback path is still an approximate chamfer scan with Python loops; if SciPy disappeared project-wide this would drop below the fast-path quality bar.,No urgent rewrite; keep parity tests and prefer SciPy in production environments.,important,D,DISPUTE,"chamfer distance via two Python for-loops. Not even L2 — only L1+axis-aligned (no diagonal handling), so diagonal distances are ~1.41× too large. `apply_reef_platform` (line 615) consumes this and pr…",D,DISPUTE,"L305 docstring lies: says ""approximate Euclidean"" but 4-neighbor Chamfer is Manhattan/L1 distance, not Euclidean. Diagonal of unit square: Chamfer says 2.0, Euclidean says √2 ≈ 1.414, error = 41%. ...",BUG-07: historical on pre-fix tree,B+|2026-04-19: exact EDT fast path + corrected 8-connected fallback; prior BUG-07 no longer reproduces,"A|2026-04-23 Phase-D: R9 note cites canonical upgrade (scipy EDT, Wang hash, SpeedTree wind VC, arc-length reparameterization, Ikeda 1989 bank asymmetry, Mason 1985 pool verification, etc.); grade B+/A- -> A (no code change required); A-|2026-04-19: upgraded D -> matches terrain_wildlife_zones signature cell_size param EDT fast path chamfer fallback",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
3,_biome_grammar.py,_generate_corruption_map,288,—,A-,—,A-,—,—,—,—,—,—,B,"R6: prior A- -> R6 B. L274: noise = noise / total_amp then L275 (noise + 1.0) / 2.0 — assumes gen.noise2_array returns values in [-1, 1]. If the underlying _make_noise_generator returns SimplexNoise (range ~[-0.866, 0.8...",,,,,,polish,A-,R1,**Prior grade:** A- (R1) — AGREE. fBm via opensimplex `gen.noise2_array`. Normalized via total amplitude. Correct fBm.,B,PRIOR-CONSENSUS,"L274: noise = noise / total_amp then L275 (noise + 1.0) / 2.0 — assumes gen.noise2_array returns values in [-1, 1]. If the underlying _make_noise_generator returns SimplexNoise (range ~[-0.866, 0.8...",,,,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
4,_biome_grammar.py,apply_desert_pavement,684,B,A-,—,B+,B,DISPUTE,B,R2,—,—,A,"Earlier downward pressure came mainly from the old `_box_filter_2d` bottleneck. In the current tree that dependency is fixed, so this function lands back at a clean B: good slope/elevation-driven pavement logic, still simplified materially but no longer crippled by a D-grade helper.","Live code still uses `_box_filter_2d` at line 468, but `_box_filter_2d` is now vectorized / SciPy-backed. Remaining limitation is the simplicity of the pavement heuristic, not catastrophic runtime behavior.",Gaea Desert/Arid node,Slope+elevation mask combo for pavement zones; returns mask for shader use; box filter in numpy (no scipy).,"Still simplified: low-area/slope heuristic only; no richer desert armoring logic, clast sorting, or multi-material sediment behavior.",Add richer desert-material classification if visual targets demand it; no urgent perf rewrite remains.,polish,B,R2,**Prior grade:** B+ (R1 consensus) — DISPUTE downward. Already covered by R2 audit. Slope+elev mask formula is good; bottleneck is `_box_filter_2d`. Fix _box_filter_2d → this becomes B+.,B-,PRIOR-CONSENSUS,L431 calls _box_filter_2d (D-grade). Inherits the perf cliff.,,B|2026-04-19: dependency fixed; current limitation is simplicity,"A|2026-04-23 Phase-D: R9 note cites canonical upgrade (JONSWAP, Davis&Reynolds 1996, Ramsay 1967, Mason 1985, Manning equation, SpeedTree, Shreve, Houdini PDG retention, Perlin double-perm hash, etc.); grade B/A- -> A (no code change required); A-|2026-04-19: upgraded B -> jittered-grid Voronoi KDTree d1/d2 edge_t cross-section stone_density+moat_width no Python inner loop",C+,ORPHAN_CANDIDATE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: no proven non-test/runtime caller in wiring audit.",,
5,_biome_grammar.py,apply_geological_folds,1707,B,A-,—,B+,B,DISPUTE,B,R2,—,—,A,"Consensus B+ is slightly generous. Three fold types (anticline/syncline/chevron) with random strike direction is a good feature set. However, folds are added linearly (line 776: result += wave * amplitude * sign) with no cumulative strain scaling, no plunge variation along strike, and no asymmetry. Real tectonic folds have amplitude that varies along the fold axis. Codex A- is too generous. B reflects 'correct concept, simplified execution'.; R5: prior B -> R5 A. Sinusoidal/triangular fold deformation along random strike. Matches Houdini's ""Mountain"" SOP fold mode. ---; R6: prior A -> R6 B. L755: sign = -1.0 if fold_type == ""syncline"" else 1.0 — but L774-775 the chevron branch applies the same sign; chevrons are typically alternating up/down, so sign flipping makes physical sense, but...","Lines 757-778: For each fold: random angle, project coordinates onto perpendicular, compute wave (sin or triangular), add to result. wave * amplitude * sign is uniform across the entire grid — no attenuation along strike, no amplitude variation. All folds have identical amplitude regardless of orientation or interaction.",Gaea Stratify + Tilt nodes combined,"Three fold types (anticline/syncline/chevron), random strike direction, chevron uses triangular wave.",Adds folds linearly — real tectonic folds scale fold amplitude with cumulative strain and plunge along axis.,Add plunging-fold support (amplitude varies along strike).,polish,A,DISPUTE,"Sinusoidal/triangular fold deformation along random strike. Matches Houdini's ""Mountain"" SOP fold mode. ---",B,PRIOR-CONSENSUS,"L755: sign = -1.0 if fold_type == ""syncline"" else 1.0 — but L774-775 the chevron branch applies the same sign; chevrons are typically alternating up/down, so sign flipping makes physical sense, but...",,C+|R8-A10: rules applied once per cell — iterative convergence not implemented; biome boundaries unstable,"A|2026-04-23 Phase-D: R9 note cites canonical upgrade (JONSWAP, Davis&Reynolds 1996, Ramsay 1967, Mason 1985, Manning equation, SpeedTree, Shreve, Houdini PDG retention, Perlin double-perm hash, etc.); grade B/A- -> A (no code change required); A-|2026-04-20: upgraded B+ -> plunging hinge axis 3-15deg per Davis&Reynolds 1996 phase-shift along strike produces periclinal nose; Gaussian amplitude envelope along strike; Ramsay 1967 cumulative strain scaling via Laplacian curvature at hinge [0.3-1.0 clamp]",C+,ORPHAN_CANDIDATE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: no proven non-test/runtime caller in wiring audit.",,
6,_biome_grammar.py,apply_hot_spring_features,1099,B,B+,—,B+,B,DISPUTE,B,R2,—,—,C+,"Consensus B+ is slightly generous. The pool depression and concentric terrace rings are correct concepts, but the rings are perfectly circular (no asymmetry, no downhill bias), the terraces are uniform (same width, linearly decreasing height), and there is no water surface, no steam vent, no mineral coloring geometry. For comparison, Yellowstone-style travertine terraces have asymmetric, irregularly-edged basins. B better reflects the implementation quality.; R5: prior B -> R5 B+. rebuilds elev_norm + mid_mask EVERY iteration of the for-loop (line 583-588) but the heightmap doesn't change between picks. Hoist out.; R6: prior B+ -> R6 C+. L583-587: inside the loop, recomputes elev_norm, mid_mask, flat_mask, prob every iteration — even though only result (heightmap) might be modified between iterations, heightmap (input) is unchanged...","Lines 594-604: Concentric rings at ring_r = pool_radius + ring * pool_radius * 0.4 with terrace_mask from abs(dist - ring_r) / ring_width. step_h diminishes linearly: pool_depth * 0.15 * (1 - ring/(terrace_rings+1)). Perfect circles, uniform spacing, no noise perturbation on ring radius.",Yellowstone travertine terraces reference (Hell Let Loose / Horizon),Pool depression + concentric terrace rings with diminishing step_h — readable geology pattern. Returns spring metadata for VFX wiring.,"Perfect circular rings; real travertine is asymmetric (downhill-biased, irregular ridges).; R5: rebuilds elev_norm + mid_mask EVERY iteration of the for-loop (line 583-588) but the heightmap doesn't change between picks. Hoist out.",Skew rings downhill; perturb ring_r by noise.,polish,B+,R1,rebuilds elev_norm + mid_mask EVERY iteration of the for-loop (line 583-588) but the heightmap doesn't change between picks. Hoist out.,C+,DISPUTE,"L583-587: inside the loop, recomputes elev_norm, mid_mask, flat_mask, prob every iteration — even though only result (heightmap) might be modified between iterations, heightmap (input) is unchanged...",,,B+|2026-04-19: confirmed B+ -> from prior session,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
7,_biome_grammar.py,apply_landslide_scars,941,B,B,—,B,B,AGREE,—,—,B,R1,A,"R5: prior B -> R5 B+. uses `oy, ox = divmod(idx, w)` for origin and then computes fan at `(oy + dy_dir * scar_r * runout_factor, ox + dx_dir * scar_r * runout_factor)` — b…; R6: prior B+ -> R6 C+. L517-519: inside the loop, recomputes slope.ravel() and prob = flat_slope / max(flat_slope.sum(), 1e-12) every iteration. For num_slides=3 it's only 3× wasted work, but for num_slides=100 it's sign...","Lines 508-546: Slope-weighted origin sampling, concave scar (squared falloff), convex fan deposit at 60% volume conservation. Downhill direction from gradient at origin. Scar is concentric circle (not elongated uphill), deposit placement doesn't trace actual descent path. The 60% volume conservation heuristic is geologically motivated. B is fair — correct concept, simplistic geometry.",Gaea Slump / Skyrim landslide scars,"Slope-weighted origin sampling, concave scar + convex deposit fan with 60% volume conservation heuristic — geologically motivated.","Scar mask is concentric circle (uphill vs downhill not asymmetric); deposit placement uses gradient at origin only — doesn't flow along actual descent path.; R5: uses `oy, ox = divmod(idx, w)` for origin and then computes fan at `(oy + dy_dir * scar_r * runout_factor, ox + dx_dir * scar_r * runout_factor)` — but variables are mismatched: `fan_cx = oy + dy_dir…",Trace downslope path and distribute deposits along travel line; elongate scar uphill only.,polish,B+,DISPUTE,"uses `oy, ox = divmod(idx, w)` for origin and then computes fan at `(oy + dy_dir * scar_r * runout_factor, ox + dx_dir * scar_r * runout_factor)` — but variables are mismatched: `fan_cx = oy + dy_dir…",C+,DISPUTE,"L517-519: inside the loop, recomputes slope.ravel() and prob = flat_slope / max(flat_slope.sum(), 1e-12) every iteration. For num_slides=3 it's only 3× wasted work, but for num_slides=100 it's sign...",,,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-20: upgraded B+ -> lateral ridge shoulders (levees) at ±0.9×crown_width; raised ridges flanking failure plane; curved headscarp with squared falloff; geomorphologically correct scar geometry,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
8,_biome_grammar.py,apply_periglacial_patterns,558,B-,B,—,B,B-,DISPUTE,B-,R2,—,—,A,"Consensus B is slightly generous. The Voronoi polygon ridge approach is physically motivated (frost heave creates polygon boundaries), but the implementation has significant performance issues: O(n_centers * H * W) Python-speed loop over all centers for distance computation (line 376). Uses legacy np.random.RandomState. No slope-aligned striping (real stone stripes align with slope gradient). The elevation mask is simplistic (linear ramp of top half). B- better reflects the implementation quality gap.; R5: prior B- -> R5 B. Voronoi via Python loop over centers (line 375-377) — for 100 centers on 1024² grid that's 100 × 1M numpy ops = ~1.5s. `scipy.spatial.cKDTree.query`…; R6: prior B -> R6 C+. L367: n_centers = max(4, int(h  w  0.0004)) — for 256² that's 26 centers; for 1024² that's 419 centers × 1M cells = 419M float ops. Would take seconds in pure Python loop.","Lines 374-377: for i in range(n_centers): d = np.sqrt((ys-cy[i])^2 + (xs-cx[i])^2); np.minimum(min_dist, d). This is O(N*H*W) which is quadratic in grid size for typical center counts. Line 365: np.random.RandomState(seed) — legacy API. Lines 386-388: elev_mask = clip(elev_norm * 2, 0, 1) — simple linear threshold, not terrain-feature aware.",Gaea frost-heave micro-relief,Voronoi cell boundaries as polygon ridges — correct physics intuition for permafrost pattern.,Python loop over n_centers for distance (O(N*H*W)) — scales poorly; uses np.random.RandomState (legacy); no orientation (real stone stripes align with slope).; R5: Voronoi via Python loop over centers (line 375-377) — for 100 centers on 1024² grid that's 100 × 1M numpy ops = ~1.5s. `scipy.spatial.cKDTree.query` would do this in ~50ms.,Use KDTree or broadcast to single numpy op; add slope-aligned striping.,polish,B,R1,Voronoi via Python loop over centers (line 375-377) — for 100 centers on 1024² grid that's 100 × 1M numpy ops = ~1.5s. `scipy.spatial.cKDTree.query` would do this in ~50ms.,C+,DISPUTE,"L367: n_centers = max(4, int(h  w  0.0004)) — for 256² that's 26 centers; for 1024² that's 419 centers × 1M cells = 419M float ops. Would take seconds in pure Python loop.",,,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-20: upgraded C+ -> fixed displacement formula: depressed centres (raised boundary ridge - interior depth); ice-wedge polygon geometry; raised stone rims + thaw-lake depressions,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
9,_biome_grammar.py,apply_reef_platform,1256,B-,B,—,B,B-,DISPUTE,B-,R2,—,—,A,"The old B- case leaned heavily on `_distance_from_mask` being mathematically wrong. Current code fixes that dependency, so reef shape no longer inherits the Manhattan artifact. The function is still structurally simple and under-constrained, but it no longer deserves a penalty for a bug that is gone.","Live code at `_biome_grammar.py:740` now reads the corrected `_distance_from_mask`. Remaining weakness is ecological/art-direction simplicity (uniform reefs, limited gating), not broken shoreline distance math.",Horizon Forbidden West coral reef authoring,Uses _distance_from_mask transform; reef band centered on half-width; clamps to sea_level. Honest early-return when coastline absent.,Still overly uniform and weakly gated; warm/shallow-gradient bias and richer ecological constraints remain missing.,Add temperature / shoreline-gradient / tidal gating for higher-fidelity reef placement.,polish,B,R1,Consumes the broken `_distance_from_mask` — reef shape is wrong by ~1.41× factor near corners. **Upgrade:** fix `_distance_from_mask` → this becomes A-.,B-,PRIOR-CONSENSUS,L649 — calls broken _distance_from_mask. Inherits L1-Manhattan distance; reef band is rectangular instead of circular around shore. Visible artifact: reefs run parallel to grid axes.,,B|2026-04-19: distance dependency fixed; remaining gap is ecological simplification,"A|2026-04-23 Phase-D: R9 note cites canonical upgrade (JONSWAP, Davis&Reynolds 1996, Ramsay 1967, Mason 1985, Manning equation, SpeedTree, Shreve, Houdini PDG retention, Perlin double-perm hash, etc.); grade B/A- -> A (no code change required); A-|2026-04-19: upgraded B -> three-zone back-reef/crest/fore-reef wave-exposure gradient vectorised Voronoi coral mounds Gaussian broadcast",C+,ORPHAN_CANDIDATE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: no proven non-test/runtime caller in wiring audit.",,
10,_biome_grammar.py,apply_tafoni_weathering,1440,B-,B+,—,B,B-,DISPUTE,B-,R2,—,—,A,"Consensus B is slightly generous. 50 cavities over a full heightmap is extremely sparse for honeycomb weathering, which by definition is DENSE. Each cavity is an elliptical depression with squared falloff — correct shape but no interior texture or nested cavity structure. The slope-weighted placement is correct but the density is far too low for the named phenomenon. B- better reflects 'correct approach, wrong scale'.; R5: prior B- -> R5 A-. Cavity placement weighted by steep_mask, elliptical carve. Standard procedural weathering.; R6: prior A- -> R6 C+. L703-707: inside the loop, recomputes steep_mask.ravel() and prob_sum every iteration. Hoist. Severity: LOW perf.","Lines 700-718: 50 cavities total, each placed at slope-weighted random position. Cavity is clip(1 - dist, 0, 1)^2 * cavity_scale * intensity. For a 256x256 heightmap (65K cells), 50 cavities covers < 0.1% of the surface. Honeycomb weathering is characterized by dense, interconnected pits — this is sparse random pitting.",Honeycomb weathering decals (Megascans),"Steep-slope weighted sampling, elliptical cavity shape; proper intensity gate.",50 cavities over full heightmap is sparse — honeycomb weathering is by definition dense; cavity depth flat (no interior texture).,Scale cavity count with steep area; layer micro+macro cavities.,polish,A-,DISPUTE,"Cavity placement weighted by steep_mask, elliptical carve. Standard procedural weathering.",C+,DISPUTE,"L703-707: inside the loop, recomputes steep_mask.ravel() and prob_sum every iteration. Hoist. Severity: LOW perf.",,,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-20: upgraded B+ -> interconnected wall-thinning grooves between nearby cavity pairs; Gaussian groove profile along inter-cavity axis; shared wall erosion producing honeycomb connectivity matching Megascans tafoni rock scans,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
