File,Qualified Name,Function,Line,Kind,Scope,R11 Domain,Research Refs,R11 Required AAA Evidence,R11 Grade,R11 B-Floor Grade,R11 Remediation Category,R11 Confidence,R11 Findings
veilbreakers_terrain/handlers/_scatter_engine.py,biome_filter_points,biome_filter_points,312,function,runtime_handler,biome_transition,UE_PCG|HOUDINI_HEIGHTFIELDS,"Shared ecotone masks that drive height, materials, scatter density, atmosphere, and gameplay together; no abrupt start/stop.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG|HOUDINI_HEIGHTFIELDS: Shared ecotone masks that drive height, materials, scatter density, atmosphere, and gameplay together; no abrupt start/stop. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/_scatter_engine.py,generate_canyon,generate_canyon,1134,function,runtime_handler,cliffs,HOUDINI_HEIGHTFIELDS|GAEA_TERRAINS,"Real strata/fractures/outcrops/talus, vertical-detail geometry or assets, material projection, and rendered readability proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_HEIGHTFIELDS|GAEA_TERRAINS: Real strata/fractures/outcrops/talus, vertical-detail geometry or assets, material projection, and rendered readability proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/_scatter_engine.py,generate_cliff_face,generate_cliff_face,1328,function,runtime_handler,cliffs,HOUDINI_HEIGHTFIELDS|GAEA_TERRAINS,"Real strata/fractures/outcrops/talus, vertical-detail geometry or assets, material projection, and rendered readability proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_HEIGHTFIELDS|GAEA_TERRAINS: Real strata/fractures/outcrops/talus, vertical-detail geometry or assets, material projection, and rendered readability proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/_scatter_engine.py,generate_floating_rocks,generate_floating_rocks,1621,function,runtime_handler,scatter_foliage,UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN,"Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN: Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/_scatter_engine.py,generate_lava_flow,generate_lava_flow,1819,function,runtime_handler,scatter_foliage,UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN,"Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG|HOUDINI_HEIGHTFIELDS|FROSTBITE_TERRAIN: Ecological density falloffs, forest core/edge/sparse bands, asset LODs, batching/streaming, slope/moisture constraints, visual proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/_terrain_depth.py,generate_biome_transition_mesh,generate_biome_transition_mesh,569,function,runtime_handler,biome_transition,UE_PCG|HOUDINI_HEIGHTFIELDS,"Shared ecotone masks that drive height, materials, scatter density, atmosphere, and gameplay together; no abrupt start/stop.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against UE_PCG|HOUDINI_HEIGHTFIELDS: Shared ecotone masks that drive height, materials, scatter density, atmosphere, and gameplay together; no abrupt start/stop. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/_terrain_depth.py,generate_waterfall_mesh,generate_waterfall_mesh,823,function,runtime_handler,water,HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS,"Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS: Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/_water_network.py,bake_flow_direction_vertex_color,bake_flow_direction_vertex_color,907,function,runtime_handler,water,HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS,"Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS: Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/_water_network.py,validate_flow_direction_continuity,validate_flow_direction_continuity,3473,function,runtime_handler,water,HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS,"Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS: Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/_water_network_ext.py,add_meander,add_meander,43,function,runtime_handler,water,HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS,"Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS: Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/_water_network_ext.py,apply_bank_asymmetry,apply_bank_asymmetry,188,function,runtime_handler,water,HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS,"Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS: Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
veilbreakers_terrain/handlers/_water_network_ext.py,solve_outflow,solve_outflow,262,function,runtime_handler,water,HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS,"Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof.",B-,B,ADD_DIRECT_RUNTIME_TEST,medium,"Benchmarked against HOUDINI_ERODE|GAEA_EROSION|HOUDINI_HEIGHTFIELDS: Carved bed before surface, banks, shelves, spillways, held basins, wet material borders, flow/debris/sediment channels, seam proof. Wiring scan status: test_only_or_unwired. Capped: direct runtime path not proven by scanner. Visual/live-output grade ceiling applied: no required dark-medieval open-world golden render evidence."
