File,Qualified Name,Function,Line,Kind,Scope,R12 Domain,Research Refs,Best Practice Baseline,R12 Strict Grade,R12 Remediation,Wiring Status,R12 Findings
scripts/blender_capability_smoke_test.py,main,main,18,function,script,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Script/tooling callable is capped without CI gate integration.
scripts/blender_capability_smoke_test.py,main.run,run,26,nested_function,script,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Script/tooling callable is capped without CI gate integration.
scripts/build_master_callable_audit.py,handler_files,handler_files,91,function,script,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Script/tooling callable is capped without CI gate integration.
scripts/build_master_callable_audit.py,to_handler_file,to_handler_file,102,function,script,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Script/tooling callable is capped without CI gate integration.
scripts/generate_strict_grade_audit.py,classify_pipeline_wiring,classify_pipeline_wiring,451,function,script,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Script/tooling callable is capped without CI gate integration.
scripts/grade_audit_shared.py,handler_files,handler_files,80,function,script,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Script/tooling callable is capped without CI gate integration.
scripts/scan_callable_wiring.py,to_handler_file,to_handler_file,174,function,script,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Script/tooling callable is capped without CI gate integration.
veilbreakers_terrain/__init__.py,register,register,28,function,runtime_other,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof.
veilbreakers_terrain/__init__.py,unregister,unregister,46,function,runtime_other,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven.
veilbreakers_terrain/handlers/__init__.py,register_all,register_all,18,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C+,REVIEW_FOR_B,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete."
veilbreakers_terrain/handlers/__init__.py,_build_command_handlers,_build_command_handlers,42,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C+,PROVE_PARENT_CONTRACT_OR_INLINE,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof."
veilbreakers_terrain/handlers/__init__.py,_build_command_handlers._try_register,_try_register,55,nested_function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof."
veilbreakers_terrain/handlers/__init__.py,_build_command_handlers._make_signature_handler,_make_signature_handler,67,nested_function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof."
veilbreakers_terrain/handlers/__init__.py,_build_command_handlers._make_signature_handler._handler,_handler,72,nested_function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,WIRE_OR_DEPRECATE,test_only_or_unwired,Wiring scan status is test_only_or_unwired; production path is not proven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof.
veilbreakers_terrain/handlers/__init__.py,__getattr__,__getattr__,1294,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof.
veilbreakers_terrain/handlers/blender_capability_bridge.py,_require_bpy,_require_bpy,37,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof."
veilbreakers_terrain/handlers/blender_capability_bridge.py,_require_bmesh,_require_bmesh,50,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof."
veilbreakers_terrain/handlers/blender_capability_bridge.py,_get_mesh_object,_get_mesh_object,62,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof."
veilbreakers_terrain/handlers/blender_capability_bridge.py,bmesh_op,bmesh_op,83,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
veilbreakers_terrain/handlers/blender_capability_bridge.py,_modifier_boolean_fallback,_modifier_boolean_fallback,186,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof."
veilbreakers_terrain/handlers/blender_capability_bridge.py,modifier_add,modifier_add,212,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
veilbreakers_terrain/handlers/blender_capability_bridge.py,modifier_apply,modifier_apply,266,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
veilbreakers_terrain/handlers/blender_capability_bridge.py,modifier_remove,modifier_remove,285,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
veilbreakers_terrain/handlers/blender_capability_bridge.py,modifier_list,modifier_list,300,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
veilbreakers_terrain/handlers/blender_capability_bridge.py,uv_project,uv_project,320,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
veilbreakers_terrain/handlers/blender_capability_bridge.py,set_render_engine,set_render_engine,395,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof."
veilbreakers_terrain/handlers/blender_capability_bridge.py,render_still,render_still,412,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
veilbreakers_terrain/handlers/blender_capability_bridge.py,render_still._clamp_dim,_clamp_dim,434,nested_function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof."
veilbreakers_terrain/handlers/blender_capability_bridge.py,collection_create,collection_create,463,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
veilbreakers_terrain/handlers/blender_capability_bridge.py,collection_link_object,collection_link_object,481,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
veilbreakers_terrain/handlers/blender_capability_bridge.py,parent_set,parent_set,500,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
veilbreakers_terrain/handlers/blender_capability_bridge.py,empty_create,empty_create,531,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
veilbreakers_terrain/handlers/blender_capability_bridge.py,geometry_nodes_create_group,geometry_nodes_create_group,553,function,runtime_handler,tooling_wiring,UE_PCG|FROSTBITE_TERRAIN,"Expose deterministic command/pass contracts with clear errors, no silent fallbacks, dispatch tests, and designer iteration surfaces comparable to PCG graph tools.",C,ADD_DIRECT_TESTS,runtime_primary,"Runtime path exists, but direct test evidence is missing."
