# Executive summary: audited sections 11.1 through 11.5, spec lines 1666-1848, against main HEAD 3cc63c55ed04df7035c1c06a8cc754e20a0b1ce1. Scope covered
# 104 PR rows and 126 extracted cite records, including three implicit same-file cites that row prose expressed as bare line numbers. Verification used
# git show main:<path> blobs only. Git Bash sed is broken in this environment with Win32 error 5, so line selection was reproduced from git-show output
# with PowerShell/Python indexing after confirming sed failure. Result: 23 valid, 39 stale, 3 out-of-file, and 61 not-found/no-line records. Pattern is
# severe cite rot, not isolated typo drift. Most stale rows resolve to real files but wrong code: shifted handlers, renamed Unity plugin paths, old
# audit line numbers, and prose cites that point at adjacent comments or unrelated functions. Several PR rows have no numeric file:line cite at all,
# especially new-file, dependency, Unity, and doc-cleanup work; those cannot be independently verified by the requested line-probe method. High-risk
# stale clusters: pipeline topo/default-pass/depth lines, W-1 water migration lines, Unity importer parity rows, asset-budget lod_meshes cites, and
# Batch15 doc backfill cites. Valid notable anchors remain for chunk size, shadow scanline bytes, macro-color consumed channels/palette, waterfall foam
# inversion, determinism artifact test, Quixel linear blend, v6 splat truncation, and selected old-wrong-cite confirmations. Treat this runway as
# needing citation repair before dispatch; otherwise agents will patch wrong sites. Recommended next move: repair stale cites before assigning PR
# owners, then rerun this audit after each spec edit so dispatch packets carry verified anchors only now.

pr_number	pr_title	spec_cite_path_line	actual_path_on_main	actual_line_on_main	status_emoji	notes
1	chore(repo): gitignore + LFS hygiene	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
2	chore(deps): pyproject runtime + bake extras + CVE fixes	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
3	fix(pipeline): topo-sort consumes `overrides=` to break dual-cycles	handlers/terrain_pipeline.py:1449-1510	veilbreakers_terrain/handlers/terrain_pipeline.py	1449,1510	❌	line exists, but probe does not match row claim; actual: 1449: in topological order so the registry reflects a valid execution | 1510: supports_region_scope=False,
4	fix(pipeline): wire 8 orphan passes into `build_default_pass_sequence` + carry C-1 amendment	handlers/terrain_pipeline.py:169-261	veilbreakers_terrain/handlers/terrain_pipeline.py	169,261	✅	default pass-sequence area verified; lines contain pass ordering list and validation warnings
5a	fix(water): drop legacy `water_surface` channel writes (W-1 step 1)	handlers/terrain_water_variants.py:781,878	veilbreakers_terrain/handlers/terrain_water_variants.py	781,878	❌	line exists, but probe does not match row claim; actual: 781: for lake in perched: | 878: ),
5b	fix(water): register canonical W-1 channels (`water_surface_mask`/`water_surface_elevation_m`/`water_depth_m`) and migrate 4 consumers	terrain_unity_export.py:2270-2278	veilbreakers_terrain/handlers/terrain_unity_export.py	2270,2278	❌	line exists, but probe does not match row claim; actual: 2270: ) | 2278: from .light_integration import compute_light_placements
5b	fix(water): register canonical W-1 channels (`water_surface_mask`/`water_surface_elevation_m`/`water_depth_m`) and migrate 4 consumers	terrain_navmesh_export.py:201,329	veilbreakers_terrain/handlers/terrain_navmesh_export.py	201,329	✅	legacy water_surface consumer lines verified; valid migration target
6	fix(foliage): `align_to_normal` default False (kill diagonal-trunk bug)	handlers/terrain_advanced.py:2652	veilbreakers_terrain/handlers/terrain_advanced.py	2652	❌	"line exists, but probe does not match row claim; actual: 2652: object_names = params.get(""object_names"", [])"
7	fix(chunking): `chunk_world_size` default 512m	handlers/terrain_chunking.py:100	veilbreakers_terrain/handlers/terrain_chunking.py	100	✅	verified against main line probe; cited code matches row claim
8	perf(pipeline): replace `deepcopy(mask_stack)` with channel-shallow + height-COW	handlers/terrain_pipeline.py:940,956	veilbreakers_terrain/handlers/terrain_pipeline.py	940,956	❌	line exists, but probe does not match row claim; actual: 940: self.state.checkpoints[-1].checkpoint_id | 956: mask_stack_path=mask_path,
9	perf(roads): vectorize `road_network` SDF via scipy EDT	handlers/road_network.py:1808-1817	veilbreakers_terrain/handlers/road_network.py	1808,1817	⚠️OOF	line outside main blob len=1775; probe: 1808: <OUT_OF_FILE len=1775> | 1817: <OUT_OF_FILE len=1775>
10	perf(shadow): `bytes += scanline` → `io.BytesIO()`	handlers/terrain_shadow_clipmap_bake.py:317-322	veilbreakers_terrain/handlers/terrain_shadow_clipmap_bake.py	317,322	✅	verified against main line probe; cited code matches row claim
11	sec(providers): `_safe_filename` for path-injection in 3 providers	providers/meshy_provider.py:216	veilbreakers_terrain/providers/meshy_provider.py	216	✅	verified against main line probe; cited code matches row claim
11	sec(providers): `_safe_filename` for path-injection in 3 providers	providers/hunyuan3d2_provider.py:274	veilbreakers_terrain/providers/hunyuan3d2_provider.py	274	❌	"line exists, but probe does not match row claim; actual: 274: holder[""status""] = JobStatus.COMPLETED"
11	sec(providers): `_safe_filename` for path-injection in 3 providers	handlers/asset_generation.py:699,706	veilbreakers_terrain/handlers/asset_generation.py	699,706	❌	line exists, but probe does not match row claim; actual: 699:  | 706: sidecar_data = {
12	fix(unity-export): atomic manifest write + temp-dir bundle pattern	handlers/terrain_unity_export.py:2484-2510	veilbreakers_terrain/handlers/terrain_unity_export.py	2484,2510	❌	line exists, but probe does not match row claim; actual: 2484: ceil_pad_m=6.0, | 2510: if not _wl:
13	sec(data-quality): NaN/Inf sanitization on Unity-export channels (NOT a security PR)	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
14	fix(rng): single-source `derive_pass_seed` (kill drift hazard)	terrain_rng.py:45	veilbreakers_terrain/handlers/terrain_rng.py	45	⚠️OOF	line outside main blob len=43; probe: 45: <OUT_OF_FILE len=43>
14	fix(rng): single-source `derive_pass_seed` (kill drift hazard)	terrain_pipeline.py:269	veilbreakers_terrain/handlers/terrain_pipeline.py	269	❌	line exists, but probe does not match row claim; actual: 269: idx
15	fix(determinism): replace `hash(cliff_id)` PYTHONHASHSEED hazard	handlers/terrain_cliffs.py:2397	veilbreakers_terrain/handlers/terrain_cliffs.py	2397	❌	line exists, but probe does not match row claim; actual: 2397: segments_vertical=12,
16	feat(stratigraphy): wire `register_stratigraphy_pass` in master_registrar	terrain_stratigraphy.py:1069	veilbreakers_terrain/handlers/terrain_stratigraphy.py	1069	❌	line exists, but probe does not match row claim; actual: 1069: # --- Metrics ----------------------------------------------------------
17	fix(morphology): apply `morphology_delta` to `height` in-pass	handlers/terrain_morphology.py:459-465	veilbreakers_terrain/handlers/terrain_morphology.py	459,465	✅	morphology_delta write and missing produced/override contract area verified
18	fix(determinism): migrate ~58 production RNG sites to `derive_pass_seed(biome_seed/chunk_seed)`	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
19	perf(erosion): Numba/Taichi-jit `priority_flood_d8` + `_erode` (E-1, E-3 fix)	handlers/_water_network.py:580-664	veilbreakers_terrain/handlers/_water_network.py	580,664	✅	verified against main line probe; cited code matches row claim
19	perf(erosion): Numba/Taichi-jit `priority_flood_d8` + `_erode` (E-1, E-3 fix)	handlers/_terrain_erosion.py:308-487	veilbreakers_terrain/handlers/_terrain_erosion.py	308,487	✅	verified against main line probe; cited code matches row claim
20	fix(unity-export): `_compat` shim for 14 test imports	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
21	fix(pipeline): declare missing `requires_channels` and `overrides=` on 16+ passes	NO_FILE_LINE_CITE			⚠️NF	no numeric file:line cite in PR row; line probe impossible
22	fix(test-infra): 4 importlib script-loader landmines + 12 legacy water_surface deletions + `@pytest.mark.slow`	tests/test_callable_orphan_contracts.py:283,290	veilbreakers_terrain/tests/test_callable_orphan_contracts.py	283,290	✅	verified against main line probe; cited code matches row claim
23	fix(env): wrap DAG-escape `road_mask` write closure into a registered pass	handlers/environment.py:6265-6266	veilbreakers_terrain/handlers/environment.py	6265,6266	❌	line exists, but probe does not match row claim; actual: 6265: terrain_height = terrain_obj.dimensions.y if terrain_obj and terrain_obj.dimensions.y > 0 else terrain_width | 6266: cell_size_x = terrain_width / max(cols - 1, 1)
24	fix(cliffs): make overhang threshold configurable; CORRECT cite `terrain_cliffs.py:890`	handlers/terrain_cliffs.py:890	veilbreakers_terrain/handlers/terrain_cliffs.py	890	❌	line exists, but probe does not match row claim; actual: 890: apron = dilated & ~face_mask & (height <= min_face_h + 1.0)
