File,Qualified Name,Function,Line,Kind,Scope,R12 Domain,Research Refs,Best Practice Baseline,R12 Strict Grade,R12 Remediation,Wiring Status,R12 Findings
scripts/batch_ingest_retired_model_provider_downloads.py,_ledger_path,_ledger_path,94,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_function_upgrade_path.py,parse_args,parse_args,49,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_function_upgrade_path.py,_domain,_domain,60,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_function_upgrade_path.py,_priority,_priority,174,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_function_upgrade_path.py,_status,_status,186,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_function_upgrade_path.py,_upgrade_steps,_upgrade_steps,194,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_function_upgrade_path.py,_relative_grade_path,_relative_grade_path,212,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_function_upgrade_path.py,main,main,219,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_verified_grades_gap_report.py,_relative_grade_path,_relative_grade_path,56,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/generate_strict_grade_audit.py,generic_aaa_path,generic_aaa_path,573,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/generate_strict_grade_audit.py,build_aaa_path,build_aaa_path,602,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/open_aaa_node_v1.py,_resolve_blend_path,_resolve_blend_path,21,function,script,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
veilbreakers_terrain/handlers/_bridge_mesh.py,generate_terrain_bridge_mesh,generate_terrain_bridge_mesh,21,function,runtime_handler,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",C+,ADD_LIVE_VISUAL_GOLDEN,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/_mesh_bridge.py,_lsystem_tree_generator,_lsystem_tree_generator,220,function,runtime_handler,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,orphan_candidate,Wiring scan marks this as orphan_candidate. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof.
veilbreakers_terrain/handlers/_mesh_bridge.py,get_material_for_category,get_material_for_category,528,function,runtime_handler,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,orphan_candidate,Wiring scan marks this as orphan_candidate. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof.
veilbreakers_terrain/handlers/_mesh_bridge.py,_face_normal,_face_normal,545,function,runtime_handler,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",C+,ADD_LIVE_VISUAL_GOLDEN,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/_mesh_bridge.py,_dot3,_dot3,564,function,runtime_handler,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/_mesh_bridge.py,post_boolean_cleanup,post_boolean_cleanup,568,function,runtime_handler,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",D+,WIRE_OR_DEPRECATE,orphan_candidate,Wiring scan marks this as orphan_candidate. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof.
veilbreakers_terrain/handlers/_mesh_bridge.py,resolve_generator,resolve_generator,956,function,runtime_handler,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/_mesh_bridge.py,_compute_aabb,_compute_aabb,979,function,runtime_handler,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",C+,ADD_LIVE_VISUAL_GOLDEN,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/_mesh_bridge.py,_cluster_vertices,_cluster_vertices,994,function,runtime_handler,roads_paths,UE_PCG|HOUDINI_ERODE|FROSTBITE_TERRAIN,"Route splines/paths against slope and obstacles; deform terrain with shoulders/drainage/worn blends; prove path continuity, biome-aware side dressing, and rendered road-to-terrain integration.",C+,ADD_LIVE_VISUAL_GOLDEN,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof."
