File,Qualified Name,Function,Line,Kind,Scope,R12 Domain,Research Refs,Best Practice Baseline,R12 Strict Grade,R12 Remediation,Wiring Status,R12 Findings
scripts/build_aaa_node_v1.py,_scatter_foliage,_scatter_foliage,1215,function,script,scatter_foliage,UE_PCG|INFINIGEN|FROSTBITE_TERRAIN,"Use species catalogs, density falloffs, forest core/edge/sparse bands, slope/moisture/altitude constraints, LOD/instancing/export budgets, and rendered grass/tree variety proof.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_scene_v2.py,_make_tree,_make_tree,334,function,script,scatter_foliage,UE_PCG|INFINIGEN|FROSTBITE_TERRAIN,"Use species catalogs, density falloffs, forest core/edge/sparse bands, slope/moisture/altitude constraints, LOD/instancing/export budgets, and rendered grass/tree variety proof.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_scene_v2.py,_scatter_trees,_scatter_trees,421,function,script,scatter_foliage,UE_PCG|INFINIGEN|FROSTBITE_TERRAIN,"Use species catalogs, density falloffs, forest core/edge/sparse bands, slope/moisture/altitude constraints, LOD/instancing/export budgets, and rendered grass/tree variety proof.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_scene_v2.py,_scatter_rocks,_scatter_rocks,472,function,script,scatter_foliage,UE_PCG|INFINIGEN|FROSTBITE_TERRAIN,"Use species catalogs, density falloffs, forest core/edge/sparse bands, slope/moisture/altitude constraints, LOD/instancing/export budgets, and rendered grass/tree variety proof.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_scene_v2.py,_add_grass,_add_grass,528,function,script,scatter_foliage,UE_PCG|INFINIGEN|FROSTBITE_TERRAIN,"Use species catalogs, density falloffs, forest core/edge/sparse bands, slope/moisture/altitude constraints, LOD/instancing/export budgets, and rendered grass/tree variety proof.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_scene_v3.py,make_broad_tree_mesh,make_broad_tree_mesh,800,function,script,scatter_foliage,UE_PCG|INFINIGEN|FROSTBITE_TERRAIN,"Use species catalogs, density falloffs, forest core/edge/sparse bands, slope/moisture/altitude constraints, LOD/instancing/export budgets, and rendered grass/tree variety proof.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_scene_v3.py,scatter_trees,scatter_trees,845,function,script,scatter_foliage,UE_PCG|INFINIGEN|FROSTBITE_TERRAIN,"Use species catalogs, density falloffs, forest core/edge/sparse bands, slope/moisture/altitude constraints, LOD/instancing/export budgets, and rendered grass/tree variety proof.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_scene_v3.py,scatter_rocks,scatter_rocks,911,function,script,scatter_foliage,UE_PCG|INFINIGEN|FROSTBITE_TERRAIN,"Use species catalogs, density falloffs, forest core/edge/sparse bands, slope/moisture/altitude constraints, LOD/instancing/export budgets, and rendered grass/tree variety proof.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_scene_v3.py,scatter_retired_model_provider_catalog,scatter_retired_model_provider_catalog,967,function,script,scatter_foliage,UE_PCG|INFINIGEN|FROSTBITE_TERRAIN,"Use species catalogs, density falloffs, forest core/edge/sparse bands, slope/moisture/altitude constraints, LOD/instancing/export budgets, and rendered grass/tree variety proof.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
scripts/build_scene_v3.py,scatter_retired_model_provider_catalog._lod0,_lod0,989,nested_function,script,scatter_foliage,UE_PCG|INFINIGEN|FROSTBITE_TERRAIN,"Use species catalogs, density falloffs, forest core/edge/sparse bands, slope/moisture/altitude constraints, LOD/instancing/export budgets, and rendered grass/tree variety proof.",D+,WIRE_OR_DEPRECATE,missing_wiring_row,No callable-wiring row; runtime path is unproven. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. Script/tooling callable is capped without CI gate integration.
