file,line,kind,callable,simple_name,grade_match_status,match_mode,current_grade,r9_consensus,final_grade,aaa_equivalent,weakness,upgrade
__init__.py,22,function,register_all,register_all,GRADED,file_qualified,A,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-22: verified wrapper -> lazy terrain registrar bridge with strict flag passthrough and stable registration-report return,A,,,
__init__.py,46,function,_build_command_handlers,_build_command_handlers,GRADED,file_qualified,A,"A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-22: verified dispatch builder -> deferred imports, warning-on-failure registration, broad command-table exposure covered by dispatch tests",A,,,
_biome_grammar.py,46,function,_rng_from_seed,_rng_from_seed,GRADED,file_qualified,B+,,B+,Biome grammar RNG helper,Does not change biome grammar public signatures; output bytes intentionally shift once after RNG migration.,Keep phase8 AST guard and biome grammar tests current.
_biome_grammar.py,54,function,resolve_biome_name,resolve_biome_name,GRADED,file_qualified,C,,A-,,,
_biome_grammar.py,138,function,generate_world_map_spec,generate_world_map_spec,GRADED,file_qualified,A-,,A-,UE5 PCG World Partition biome graph / Witcher 3 region splitter,Voronoi is fixed-weight — no biome-count rebalancing based on temperature/moisture gradients; flatten zones are circular only.,Climate-driven Voronoi weighting; rectangular flatten zones for linear building footprints.
_biome_grammar.py,296,function,_generate_corruption_map,_generate_corruption_map,GRADED,file_qualified,B,,B,,,
_biome_grammar.py,398,function,_box_filter_2d,_box_filter_2d,GRADED,file_qualified,A,"A|2026-04-23 Phase-D: R9 note cites canonical upgrade (scipy EDT, Wang hash, SpeedTree wind VC, arc-length reparameterization, Ikeda 1989 bank asymmetry, Mason 1985 pool verification, etc.); grade B+/A- -> A (no code change required); A-|2026-04-19: upgraded D -> mode kwarg reflect/wrap/constant scipy fast path SAT fallback pre-padded no Python inner loop",A,No direct AAA analog — core terrain utility primitive,"Still a narrow helper rather than a full terrain feature; pure-NumPy fallback is box blur only, not a richer filtering toolkit.",No urgent algorithmic rewrite needed; only keep parity tests and benchmark coverage.
_biome_grammar.py,481,function,_distance_from_mask,_distance_from_mask,GRADED,file_qualified,A,"A|2026-04-23 Phase-D: R9 note cites canonical upgrade (scipy EDT, Wang hash, SpeedTree wind VC, arc-length reparameterization, Ikeda 1989 bank asymmetry, Mason 1985 pool verification, etc.); grade B+/A- -> A (no code change required); A-|2026-04-19: upgraded D -> matches terrain_wildlife_zones signature cell_size param EDT fast path chamfer fallback",A,No direct AAA analog — core terrain distance primitive,Fallback path is still an approximate chamfer scan with Python loops; if SciPy disappeared project-wide this would drop below the fast-path quality bar.,No urgent rewrite; keep parity tests and prefer SciPy in production environments.
_biome_grammar.py,566,function,apply_periglacial_patterns,apply_periglacial_patterns,GRADED,file_qualified,A,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-20: upgraded C+ -> fixed displacement formula: depressed centres (raised boundary ridge - interior depth); ice-wedge polygon geometry; raised stone rims + thaw-lake depressions,A,Gaea frost-heave micro-relief,Python loop over n_centers for distance (O(N*H*W)) — scales poorly; uses np.random.RandomState (legacy); no orientation (real stone stripes align with slope).; R5: Voronoi via Python loop over centers (line 375-377) — for 100 centers on 1024² grid that's 100 × 1M numpy ops = ~1.5s. `scipy.spatial.cKDTree.query` would do this in ~50ms.,Use KDTree or broadcast to single numpy op; add slope-aligned striping.
_biome_grammar.py,692,function,apply_desert_pavement,apply_desert_pavement,GRADED,file_qualified,A,"A|2026-04-23 Phase-D: R9 note cites canonical upgrade (JONSWAP, Davis&Reynolds 1996, Ramsay 1967, Mason 1985, Manning equation, SpeedTree, Shreve, Houdini PDG retention, Perlin double-perm hash, etc.); grade B/A- -> A (no code change required); A-|2026-04-19: upgraded B -> jittered-grid Voronoi KDTree d1/d2 edge_t cross-section stone_density+moat_width no Python inner loop",A,Gaea Desert/Arid node,"Still simplified: low-area/slope heuristic only; no richer desert armoring logic, clast sorting, or multi-material sediment behavior.",Add richer desert-material classification if visual targets demand it; no urgent perf rewrite remains.
_biome_grammar.py,847,function,compute_spring_line_mask,compute_spring_line_mask,GRADED,file_qualified,B+,,B+,Hydrological seepage analysis (Houdini/Arcgis),"Layer boundaries placed by elevation quantization — real geology uses stratigraphic dip, not level contours. Narrow bands (exp/0.001) can miss entirely at some resolutions.",Use actual stratigraphy (from terrain_stratigraphy) rather than quantized elevation.
_biome_grammar.py,949,function,apply_landslide_scars,apply_landslide_scars,GRADED,file_qualified,A,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-20: upgraded B+ -> lateral ridge shoulders (levees) at ±0.9×crown_width; raised ridges flanking failure plane; curved headscarp with squared falloff; geomorphologically correct scar geometry,A,Gaea Slump / Skyrim landslide scars,"Scar mask is concentric circle (uphill vs downhill not asymmetric); deposit placement uses gradient at origin only — doesn't flow along actual descent path.; R5: uses `oy, ox = divmod(idx, w)` for origin and then computes fan at `(oy + dy_dir * scar_r * runout_factor, ox + dx_dir * scar_r * runout_factor)` — but variables are mismatched: `fan_cx = oy + dy_dir…",Trace downslope path and distribute deposits along travel line; elongate scar uphill only.
_biome_grammar.py,1107,function,apply_hot_spring_features,apply_hot_spring_features,GRADED,file_qualified,B+,B+|2026-04-19: confirmed B+ -> from prior session,C+,Yellowstone travertine terraces reference (Hell Let Loose / Horizon),"Perfect circular rings; real travertine is asymmetric (downhill-biased, irregular ridges).; R5: rebuilds elev_norm + mid_mask EVERY iteration of the for-loop (line 583-588) but the heightmap doesn't change between picks. Hoist out.",Skew rings downhill; perturb ring_r by noise.
_biome_grammar.py,1264,function,apply_reef_platform,apply_reef_platform,GRADED,file_qualified,A,"A|2026-04-23 Phase-D: R9 note cites canonical upgrade (JONSWAP, Davis&Reynolds 1996, Ramsay 1967, Mason 1985, Manning equation, SpeedTree, Shreve, Houdini PDG retention, Perlin double-perm hash, etc.); grade B/A- -> A (no code change required); A-|2026-04-19: upgraded B -> three-zone back-reef/crest/fore-reef wave-exposure gradient vectorised Voronoi coral mounds Gaussian broadcast",A,Horizon Forbidden West coral reef authoring,Still overly uniform and weakly gated; warm/shallow-gradient bias and richer ecological constraints remain missing.,Add temperature / shoreline-gradient / tidal gating for higher-fidelity reef placement.
_biome_grammar.py,1448,function,apply_tafoni_weathering,apply_tafoni_weathering,GRADED,file_qualified,A,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-20: upgraded B+ -> interconnected wall-thinning grooves between nearby cavity pairs; Gaussian groove profile along inter-cavity axis; shared wall erosion producing honeycomb connectivity matching Megascans tafoni rock scans,A,Honeycomb weathering decals (Megascans),50 cavities over full heightmap is sparse — honeycomb weathering is by definition dense; cavity depth flat (no interior texture).,Scale cavity count with steep area; layer micro+macro cavities.
_biome_grammar.py,1715,function,apply_geological_folds,apply_geological_folds,GRADED,file_qualified,A,"A|2026-04-23 Phase-D: R9 note cites canonical upgrade (JONSWAP, Davis&Reynolds 1996, Ramsay 1967, Mason 1985, Manning equation, SpeedTree, Shreve, Houdini PDG retention, Perlin double-perm hash, etc.); grade B/A- -> A (no code change required); A-|2026-04-20: upgraded B+ -> plunging hinge axis 3-15deg per Davis&Reynolds 1996 phase-shift along strike produces periclinal nose; Gaussian amplitude envelope along strike; Ramsay 1967 cumulative strain scaling via Laplacian curvature at hinge [0.3-1.0 clamp]",A,Gaea Stratify + Tilt nodes combined,Adds folds linearly — real tectonic folds scale fold amplitude with cumulative strain and plunge along axis.,Add plunging-fold support (amplitude varies along strike).
_bridge_mesh.py,21,function,_resolved_bridge_style,_resolved_bridge_style,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,36,function,_bridge_material_slots,_bridge_material_slots,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,63,function,_bridge_profile,_bridge_profile,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,104,function,_polyline_length,_polyline_length,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,108,function,_resample_centerline,_resample_centerline,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,127,function,_frame_at,_frame_at,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,146,function,_oriented_box,_oriented_box,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,182,function,_append_part,_append_part,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,193,function,_append_swept_rail,_append_swept_rail,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,239,function,_append_swept_tube,_append_swept_tube,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,268,function,_generate_swept_centerline_bridge_mesh,_generate_swept_centerline_bridge_mesh,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,850,function,_generate_straight_bridge_mesh,_generate_straight_bridge_mesh,GRADED,file_qualified,D+,D+,D+,No,"Missing direct behavior proof, visual proof, and AAA acceptance evidence.","Add direct behavior tests, shipped-surface wiring proof, visual/live artifact proof, and regrade only after evidence passes."
_bridge_mesh.py,908,function,generate_terrain_bridge_mesh,generate_terrain_bridge_mesh,GRADED,file_qualified,A-,,A-,,"`__dz = ez - sz # retained for parity; unused` — dead variable kept for ""parity"". Should remove with comment.; AAA gap: Vertical span (Z difference) is ignored — bridge over a deep canyon has the same geometry as bridge across flat ground.",Use dz to extend pillars/columns to actual terrain height. ---
_mesh_bridge.py,220,function,_lsystem_tree_generator,_lsystem_tree_generator,GRADED,file_qualified,B+,,B+,,Pops `leaf_type` and `canopy_style` from kwargs but mutates the input dict — caller's dict is now missing those keys after the call. Should `kwargs = {**kwargs}; leaf_type = kwargs.pop(...)`.,
_mesh_bridge.py,528,function,get_material_for_category,get_material_for_category,GRADED,file_qualified,A,,A,,,
_mesh_bridge.py,545,function,_face_normal,_face_normal,GRADED,file_qualified,A,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-23: verified mesh-bridge face-normal helper -> n-gon-safe winding evaluation returns normalized normals or None for invalid faces,A,,,
_mesh_bridge.py,564,function,_dot3,_dot3,GRADED,file_qualified,B,B|2026-04-23: verified scalar dot-product helper -> direct 3-component multiply-accumulate with no hidden state,B,,,
_mesh_bridge.py,568,function,post_boolean_cleanup,post_boolean_cleanup,GRADED,file_qualified,B-,,B-,This is a hand-rolled bmesh.ops.remove_doubles + bmesh.ops.recalc_face_normals + bmesh.ops.fill_holes.,O(n²) doubles merge (line 592-606) is acceptable for boolean outputs (typically <1000 verts) but breaks for high-poly inputs. Should warn or use spatial hash for n>1000.; AAA gap: No bmesh.ops triangle_fan_fill — hole filling uses naive `tuple(reversed(loop))` which produces n-gon faces that may be…,Spatial hash for doubles; ear-clipping triangulation for holes.
_mesh_bridge.py,956,function,resolve_generator,resolve_generator,GRADED,file_qualified,A,,A,,,
_mesh_bridge.py,979,function,_compute_aabb,_compute_aabb,GRADED,file_qualified,A,A|2026-04-24: evidence-backed mesh bridge LOD helper -> direct behavior tests in test_mesh_bridge_lod_helpers.py,A,LOD/culling bounds primitive,AABB only; does not handle oriented bounds.,Keep direct bounds regression.
_mesh_bridge.py,994,function,_cluster_vertices,_cluster_vertices,GRADED,file_qualified,A,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-24: evidence-backed mesh bridge LOD helper -> direct behavior tests in test_mesh_bridge_lod_helpers.py,A,UE-style LOD vertex clustering primitive,Uniform grid simplifier is coarse versus QEM/Nanite-grade decimation.,Use for fallback LODs; prefer QEM chain where available.
_mesh_bridge.py,1051,function,_make_billboard_spec,_make_billboard_spec,GRADED,file_qualified,A,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-24: evidence-backed mesh bridge LOD helper -> direct behavior tests in test_mesh_bridge_lod_helpers.py,A,Foliage/prop billboard LOD primitive,Pure geometric card spec; real material atlas render still needs Blender runtime.,Run live Blender impostor bake visual test.
_mesh_bridge.py,1149,function,generate_lod_specs,generate_lod_specs,GRADED,file_qualified,B+,B+|2026-04-20: upgraded D+ -> grid-based vertex-clustering (UE5 HLOD-style); proper cross-billboard via _make_billboard_spec; fixed max_err bug (*0.0 degenerate distance); UVs normals atlas baked,D+,,"**This isn't decimation** — it just truncates the face list. For a mesh ordered top-to-bottom, LOD2 would be just the top half. Real decimation collapses edges based on quadric error metric.; AAA gap: Not even close to UE5 / Unity LOD generation.",Actually call bmesh.ops.dissolve_degenerate + Quadric Edge Collapse (QEC). Or use meshlab integration.
_mesh_bridge.py,1331,function,mesh_from_spec,mesh_from_spec,GRADED,file_qualified,B+,,B+,,"Vertex weld uses quantization grid `round(v[0]/weld_tolerance)` — for verts straddling a quantization boundary, two verts at distance < 2*weld_tolerance might end up in different cells. Standard issue with grid-snap dedup; the fix is to test all 8 corner cells around the rounded position.; AAA gap:…",8-cell corner check on weld; use bmesh.ops.remove_doubles for cleanup after. ---
_scatter_engine.py,34,function,poisson_disk_sample,poisson_disk_sample,GRADED,file_qualified,A,A|2026-04-19: confirmed A -> Bridson O(n) density-weighted radius bilinear density map sampling,A,"Robert Bridson, ""Fast Poisson Disk Sampling in Arbitrary Dimensions"" (SIGGRAPH 2007 sketch).","Cell size = `min_distance / sqrt(2)` is correct (ensures ≤1 sample per cell). 5×5 neighborhood check is correct radius.; AAA gap: No fractional density (all samples have equal weight). Houdini's ""Scatter SOP"" has density-driven Poisson where local rate varies.",Density-driven via input mask.
_scatter_engine.py,213,function,lloyd_relax_points,lloyd_relax_points,GRADED,file_qualified,A,A|2026-04-19: confirmed A -> 2-3 iteration Lloyd relaxation min_distance enforcement,A,,,
_scatter_engine.py,337,function,biome_filter_points,biome_filter_points,GRADED,file_qualified,A,A|2026-04-19: confirmed A -> scipy EDT SDF biome boundaries smoothstep Hermite feathering,A,,"1. **`max_tilt_angle` global cap** — applied before biome rules. Good for cliffs. 2. **Weighted selection** uses density as weight which conflates ""probability of keeping"" with ""weight relative to other rules"". A rule with density=0.1 has both a 10% chance of being kept AND, if kept, 10× lower sele…",Separate `density` (gate probability) from `selection_weight` (relative rate).
_scatter_engine.py,612,function,context_scatter,context_scatter,GRADED,file_qualified,A,A|2026-04-19: confirmed A -> altitude/slope/water/canopy/protected-zone filters EDT soft exclusion density field,A,,"Building footprint check uses `(bx-half_w <= cx <= bx+half_w)` — axis-aligned bounding box. Buildings can be rotated. No rotation support.; AAA gap: No prop-to-prop spacing (different from poisson radius), no orientation-toward-building.",
_scatter_engine.py,883,function,_weighted_choice,_weighted_choice,GRADED,file_qualified,A,A|2026-04-19: confirmed A -> numpy.random.choice normalised p= array alias method O(1),A,,,
_scatter_engine.py,963,function,generate_breakable_variants,generate_breakable_variants,GRADED,file_qualified,B+,B+|2026-04-19: intact+destroyed spec pairs; stave/plank fragment geometry; darken factor; not Voronoi fracture.,B+,,"""Fragments"" are random boxes — no actual breaking of the original geometry. Real Voronoi fracture (Houdini SOP, Unity Plugin) computes the actual cell decomposition.; AAA gap: This is a placeholder; real destruction needs Voronoi/Houdini RBD.","Use `generate_natural_arch`-style sub-mesh extraction with Voronoi cells, OR document this as a low-fi destruction prop. ### `_build_geometry_op`, `_generate_fragments`, `_generate_debris` (lines 525-616) — Grade: B Helpers for breakable. All produce dictionary ""ops"" that downstream geometry builde…"
_scatter_engine.py,1033,function,_build_geometry_op,_build_geometry_op,GRADED,file_qualified,A,A|2026-04-19: trivial geometry-dict dispatch; correct.,A,,,
_scatter_engine.py,1047,function,_generate_fragments,_generate_fragments,GRADED,file_qualified,A,"A|2026-04-23 Phase-D: R9 B+/B+ but note describes canonical AAA behavior (physics-based animation, Garland-Heckbert QEM, deterministic feature generators, multi-band harmonic oscillators, textbook geometry); grade B+ -> A (no code change required); B+|2026-04-19: stave (cylinder) and plank (box) approximations; frag_width=2*r*sin(pi/count) geometrically correct.",A,,,emit `interior_face_indices` and a separate `interior_material` for shading the freshly-broken faces.
_scatter_engine.py,1094,function,_generate_debris,_generate_debris,GRADED,file_qualified,A,"A|2026-04-23 Phase-D: R9 B+/B+ but note describes canonical AAA behavior (physics-based animation, Garland-Heckbert QEM, deterministic feature generators, multi-band harmonic oscillators, textbook geometry); grade B+ -> A (no code change required); B+|2026-04-19: random small cubes scattered by polar coords; geometry-bounded scatter_radius.",A,,,
