"change","path","old_path","decision","evidence"
"A",".compound-engineering/config.local.example.yaml","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"A",".gitattributes","","needs-manual-review","Potentially useful governance/config/surface file, but not safe to salvage from PR14 without focused review."
"A",".github/PULL_REQUEST_TEMPLATE.md","","defer-workflow","Workflow churn is too broad; current required checks are green. Patch only failing checks with evidence."
"A",".github/codeql/codeql-config.yml","","defer-workflow","Workflow churn is too broad; current required checks are green. Patch only failing checks with evidence."
"M",".github/workflows/callable_census.yml","","defer-workflow","Workflow churn is too broad; current required checks are green. Patch only failing checks with evidence."
"M",".github/workflows/codeql.yml","","defer-workflow","Workflow churn is too broad; current required checks are green. Patch only failing checks with evidence."
"M",".github/workflows/python-package.yml","","defer-workflow","Workflow churn is too broad; current required checks are green. Patch only failing checks with evidence."
"M",".github/workflows/type-check.yml","","defer-workflow","Workflow churn is too broad; current required checks are green. Patch only failing checks with evidence."
"M",".github/workflows/visual_testing_readiness.yml","","defer-workflow","Workflow churn is too broad; current required checks are green. Patch only failing checks with evidence."
"M",".gitignore","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"A",".pre-commit-config.yaml","","needs-manual-review","Potentially useful governance/config/surface file, but not safe to salvage from PR14 without focused review."
"M","AGENTS.md","","needs-manual-review","Potentially useful governance/config/surface file, but not safe to salvage from PR14 without focused review."
"A","CLAUDE.md","","needs-manual-review","Potentially useful governance/config/surface file, but not safe to salvage from PR14 without focused review."
"A","GEMINI.md","","needs-manual-review","Potentially useful governance/config/surface file, but not safe to salvage from PR14 without focused review."
"A","docs/BRANCHING_AND_MERGE_POLICY.md","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","docs/CODEBASE_STRUCTURE.md","","needs-manual-review","Potentially useful governance/config/surface file, but not safe to salvage from PR14 without focused review."
"M","docs/FOLIAGE_MANIFEST_PIPELINE.md","","needs-manual-review","Potentially useful governance/config/surface file, but not safe to salvage from PR14 without focused review."
"A","docs/SCATTER_TOOL_RESEARCH_2026_05_03.md","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","docs/TERRAIN_CALLABLE_USAGE_GUARDRAIL.md","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","docs/TERRAIN_GENERATION_GUARDRAILS.md","","needs-manual-review","Potentially useful governance/config/surface file, but not safe to salvage from PR14 without focused review."
"M","docs/UNITY_RUNTIME_TERRAIN_STREAMING.md","","needs-manual-review","Potentially useful governance/config/surface file, but not safe to salvage from PR14 without focused review."
"A","docs/VEGETATION_IMPLEMENTATION_PHASE_2026_05_03.md","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"A","docs/VEGETATION_TOOL_DECISION_2026_05_03.md","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"A","docs/WATER_TOOL_DECISION_2026_05_03.md","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"A","docs/aaa-audit/ACTIVE_ITEMS_FINAL.json","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","docs/aaa-audit/BATCH14_FINDINGS.md","","reference-only","Useful as reference/audit context only; not production runtime code."
"M","docs/aaa-audit/FIX_ORDER_CODEX_2026_04_27.md","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","docs/aaa-audit/FIX_STATUS_CHECKLIST.md","","reference-only","Useful as reference/audit context only; not production runtime code."
"M","docs/aaa-audit/GRADES_VERIFIED.csv","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","docs/aaa-audit/IMPLEMENTATION_GUIDE_2026_04_29.md","","reference-only","Useful as reference/audit context only; not production runtime code."
"M","docs/aaa-audit/MASTER_AUDIT_2026_04_19.md","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","docs/aaa-audit/MISSING_ITEMS_IMPLEMENTATION_GUIDE_2026_04_30.md","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","docs/aaa-audit/MISSING_ITEMS_RESCAN_2026_04_30.md","","reference-only","Useful as reference/audit context only; not production runtime code."
"M","docs/aaa-audit/TEST_GUARDRAIL_AUDIT_2026_04_19.md","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","docs/agent-requirements/COMPOUND_ENGINEERING_WORKFLOW.md","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"A","docs/superpowers/plans/2026-05-02-aaa-audit-fix-coastal-ruins.md","","reference-only","Useful as reference/audit context only; not production runtime code."
"A","docs/superpowers/specs/2026-05-01-aaa-visual-pipeline-v2-design.md","","reference-only","Useful as reference/audit context only; not production runtime code."
