File,Qualified Name,Current R12 Grade,Manual Grade,Action,Evidence Summary,Best Practice Gap
scripts/build_aaa_node_v1.py,compose_heightmap,D+,D+,DEPRECATE_OR_REMOVE,"Script/demo callable only; no command/pass runtime contract, CI gate, or direct engine proof found.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
scripts/build_aaa_node_v1.py,compose_heightmap.fbm,D+,D+,DEPRECATE_OR_REMOVE,"Script/demo callable only; no command/pass runtime contract, CI gate, or direct engine proof found.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
scripts/build_aaa_node_v2.py,compose_heightmap,D+,D+,DEPRECATE_OR_REMOVE,"Script/demo callable only; no command/pass runtime contract, CI gate, or direct engine proof found.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
scripts/build_aaa_node_v2.py,compose_heightmap.fbm,D+,D+,DEPRECATE_OR_REMOVE,"Script/demo callable only; no command/pass runtime contract, CI gate, or direct engine proof found.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
scripts/build_aaa_node_v2.py,_load_v1_heightmap,D+,D+,DEPRECATE_OR_REMOVE,"Script/demo callable only; no command/pass runtime contract, CI gate, or direct engine proof found.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
scripts/build_scene_v2.py,_build_heightmap,D+,D+,DEPRECATE_OR_REMOVE,"Script/demo callable only; no command/pass runtime contract, CI gate, or direct engine proof found.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
scripts/build_scene_v2.py,_setup_world,D+,D+,DEPRECATE_OR_REMOVE,"Script/demo callable only; no command/pass runtime contract, CI gate, or direct engine proof found.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
scripts/build_scene_v3.py,compose_heightmap,D+,D+,DEPRECATE_OR_REMOVE,"Script/demo callable only; no command/pass runtime contract, CI gate, or direct engine proof found.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
scripts/build_scene_v3.py,compose_heightmap.fbm,D+,D+,DEPRECATE_OR_REMOVE,"Script/demo callable only; no command/pass runtime contract, CI gate, or direct engine proof found.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
scripts/build_scene_v3.py,setup_world,D+,D+,DEPRECATE_OR_REMOVE,"Script/demo callable only; no command/pass runtime contract, CI gate, or direct engine proof found.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_depth.py,_fbm_noise2._bilinear_noise,C,C,ADD_DIRECT_TESTS,"Reachable helper path exists, but direct row-level behavior tests are missing or indirect.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_erosion.py,ErosionMasks,D+,C,ADD_DIRECT_TESTS,"Runtime data/helper surface is used by parent code, but row-level direct contract tests and live proof are incomplete.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_erosion.py,ThermalErosionMasks,D+,C,ADD_DIRECT_TESTS,"Runtime data/helper surface is used by parent code, but row-level direct contract tests and live proof are incomplete.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_erosion.py,ErosionConfig,D+,C,ADD_DIRECT_TESTS,"Runtime data/helper surface is used by parent code, but row-level direct contract tests and live proof are incomplete.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_erosion.py,AnalyticalErosionResult,D+,C,ADD_DIRECT_TESTS,"Runtime data/helper surface is used by parent code, but row-level direct contract tests and live proof are incomplete.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_erosion.py,apply_hydraulic_erosion_masks,C+,C+,ADD_LIVE_VISUAL_GOLDEN,Reachable helper with some tests/parent proof; lacks live visual/engine evidence.,"No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_erosion.py,apply_hydraulic_erosion,C+,C+,ADD_LIVE_VISUAL_GOLDEN,Reachable helper with some tests/parent proof; lacks live visual/engine evidence.,"No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_erosion.py,_deposit,C,C,ADD_DIRECT_TESTS,"Reachable helper path exists, but direct row-level behavior tests are missing or indirect.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_erosion.py,_erode_brush,C,C,ADD_DIRECT_TESTS,"Reachable helper path exists, but direct row-level behavior tests are missing or indirect.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_erosion.py,apply_thermal_erosion_masks,C,C,ADD_DIRECT_TESTS,"Reachable helper path exists, but direct row-level behavior tests are missing or indirect.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_erosion.py,apply_thermal_erosion,C+,C+,ADD_LIVE_VISUAL_GOLDEN,Reachable helper with some tests/parent proof; lacks live visual/engine evidence.,"No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_noise.py,_build_permutation_table,C+,C+,ADD_LIVE_VISUAL_GOLDEN,Reachable helper with some tests/parent proof; lacks live visual/engine evidence.,"No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_noise.py,_perlin_noise2_array,C,C,ADD_DIRECT_TESTS,"Reachable helper path exists, but direct row-level behavior tests are missing or indirect.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_noise.py,_PermTableNoise,D+,C,ADD_DIRECT_TESTS,"Runtime data/helper surface is used by parent code, but row-level direct contract tests and live proof are incomplete.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_noise.py,_PermTableNoise.noise2,C+,C+,ADD_LIVE_VISUAL_GOLDEN,Reachable helper with some tests/parent proof; lacks live visual/engine evidence.,"No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_noise.py,_PermTableNoise.noise2_array,C+,C+,ADD_LIVE_VISUAL_GOLDEN,Reachable helper with some tests/parent proof; lacks live visual/engine evidence.,"No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
veilbreakers_terrain/handlers/_terrain_noise.py,_PermTableNoise.noise3,C,C,ADD_DIRECT_TESTS,"Reachable helper path exists, but direct row-level behavior tests are missing or indirect.","No live terrain-shape proof for seeded macro/meso/micro controls, erosion/deposition masks, seam continuity, and landform readability."
