File,Qualified Name,Function,Line,Kind,Scope,R12 Domain,Research Refs,Best Practice Baseline,R12 Strict Grade,R12 Remediation,Wiring Status,R12 Findings
veilbreakers_terrain/handlers/_scatter_engine.py,generate_canyon,generate_canyon,1134,function,runtime_handler,cliffs,HOUDINI_ERODE|GAEA_EROSION2|INFINIGEN,"Generate cliff faces with strata/fracture/talus/outcrop masks; avoid heightmap-only vertical smearing; prove silhouette, scale, projection/triplanar materials, and foothill transitions in rendered goldens.",C,WIRE_OR_DEPRECATE,test_only_or_unwired,Wiring scan status is test_only_or_unwired; production path is not proven. Product terrain domain lacks attached live visual golden/render proof.
veilbreakers_terrain/handlers/_scatter_engine.py,generate_cliff_face,generate_cliff_face,1328,function,runtime_handler,cliffs,HOUDINI_ERODE|GAEA_EROSION2|INFINIGEN,"Generate cliff faces with strata/fracture/talus/outcrop masks; avoid heightmap-only vertical smearing; prove silhouette, scale, projection/triplanar materials, and foothill transitions in rendered goldens.",C,WIRE_OR_DEPRECATE,test_only_or_unwired,Wiring scan status is test_only_or_unwired; production path is not proven. Product terrain domain lacks attached live visual golden/render proof.
veilbreakers_terrain/handlers/_terrain_depth.py,generate_cliff_face_mesh,generate_cliff_face_mesh,149,function,runtime_handler,cliffs,HOUDINI_ERODE|GAEA_EROSION2|INFINIGEN,"Generate cliff faces with strata/fracture/talus/outcrop masks; avoid heightmap-only vertical smearing; prove silhouette, scale, projection/triplanar materials, and foothill transitions in rendered goldens.",C+,ADD_LIVE_VISUAL_GOLDEN,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/_terrain_depth.py,generate_cliff_face_mesh._strata_y_offset,_strata_y_offset,207,nested_function,runtime_handler,cliffs,HOUDINI_ERODE|GAEA_EROSION2|INFINIGEN,"Generate cliff faces with strata/fracture/talus/outcrop masks; avoid heightmap-only vertical smearing; prove silhouette, scale, projection/triplanar materials, and foothill transitions in rendered goldens.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/_terrain_depth.py,generate_cliff_face_mesh._erosion_recess,_erosion_recess,230,nested_function,runtime_handler,cliffs,HOUDINI_ERODE|GAEA_EROSION2|INFINIGEN,"Generate cliff faces with strata/fracture/talus/outcrop masks; avoid heightmap-only vertical smearing; prove silhouette, scale, projection/triplanar materials, and foothill transitions in rendered goldens.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/_terrain_depth.py,detect_cliff_edges,detect_cliff_edges,1286,function,runtime_handler,cliffs,HOUDINI_ERODE|GAEA_EROSION2|INFINIGEN,"Generate cliff faces with strata/fracture/talus/outcrop masks; avoid heightmap-only vertical smearing; prove silhouette, scale, projection/triplanar materials, and foothill transitions in rendered goldens.",C+,ADD_LIVE_VISUAL_GOLDEN,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/environment.py,_cliff_structures_to_overlay_placements,_cliff_structures_to_overlay_placements,1822,function,runtime_handler,cliffs,HOUDINI_ERODE|GAEA_EROSION2|INFINIGEN,"Generate cliff faces with strata/fracture/talus/outcrop masks; avoid heightmap-only vertical smearing; prove silhouette, scale, projection/triplanar materials, and foothill transitions in rendered goldens.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/terrain_audio_zones.py,_cliff_echo_delay,_cliff_echo_delay,387,function,runtime_handler,cliffs,HOUDINI_ERODE|GAEA_EROSION2|INFINIGEN,"Generate cliff faces with strata/fracture/talus/outcrop masks; avoid heightmap-only vertical smearing; prove silhouette, scale, projection/triplanar materials, and foothill transitions in rendered goldens.",C+,ADD_LIVE_VISUAL_GOLDEN,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/terrain_caves.py,validate_entrance_cliff_compatible,validate_entrance_cliff_compatible,378,function,runtime_handler,cliffs,HOUDINI_ERODE|GAEA_EROSION2|INFINIGEN,"Generate cliff faces with strata/fracture/talus/outcrop masks; avoid heightmap-only vertical smearing; prove silhouette, scale, projection/triplanar materials, and foothill transitions in rendered goldens.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Product terrain domain lacks attached live visual golden/render proof."
veilbreakers_terrain/handlers/terrain_caves.py,snap_entry_to_cliff_face,snap_entry_to_cliff_face,1023,function,runtime_handler,cliffs,HOUDINI_ERODE|GAEA_EROSION2|INFINIGEN,"Generate cliff faces with strata/fracture/talus/outcrop masks; avoid heightmap-only vertical smearing; prove silhouette, scale, projection/triplanar materials, and foothill transitions in rendered goldens.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Product terrain domain lacks attached live visual golden/render proof."
