# Summary: audited §11.1-§11.5 against main HEAD 3cc63c55ed04df7035c1c06a8cc754e20a0b1ce1 using git show main:<file> blobs only.
# Scope parsed 136 PR table rows, including active rows, moved/deferred trace rows, and Block 5 sub-block rows. Output contains 253 TSV records:
# 206 cite/file records plus 47 NO_CITE PR rows. Status totals: VALID=56, STALE=40, OUT_OF_FILE=6, NEW_FILE_NOT_ON_MAIN=104, NO_CITE=47.
# Compared with CODEX1 baseline (23 valid / 39 stale / 3 out-of-file / 61 no-cite), raw valid count improved by +33 and all-record valid ratio rose
# from 18.3% to 22.1%. True line/file-record quality did not improve: VALID among cite/file records fell from 35.4% baseline to 27.2% because
# Phase 4 added many not-yet-on-main rows and several older stale anchors survived restructure. So answer is mixed: yes, more anchors are now
# verified; no, §11 is not cite-clean enough for autonomous dispatch without repair. Residual stale cites escaping fixes include PR #3
# handlers/terrain_pipeline.py:1449,1510; #5a handlers/terrain_water_variants.py:781,878; #5b terrain_unity_export.py:2270,2278; #8
# handlers/terrain_pipeline.py:940,956; #11 providers/hunyuan3d2_provider.py:274 and handlers/asset_generation.py:699,706; #12
# handlers/terrain_unity_export.py:2484,2510; #15 handlers/terrain_cliffs.py:2397; #16 terrain_stratigraphy.py:1069; #23
# handlers/environment.py:4630,4689 and :5237; #24 terrain_cliffs.py:890; #29 terrain_pipeline.py:1133,1191; #34
# handlers/terrain_checkpoints.py:97,102; #35 handlers/terrain_pipeline.py:992,999; #36 profile instance cites; #43 vegetation/procedural grass;
# #45 handlers/environment.py:2861; #62 water-depth cites; #65 dead-RNG cleanup cites; B5-U2/B5-U3/B5-U4 importer cites; B5-T1 visual QA; B5-A4
# asset-budget cites; and B5-DOC2 backfill cites. Phase 4 focus rows B5-U-NAV, B5-U15-U22, B5-C7-C12, B5-D5-D8, B5-T8-T10, and #65 are mostly
# NEW_FILE_NOT_ON_MAIN or no-line documentation; expected, but they need stronger caveats before agents treat them as main anchors. Highest-risk
# repair order: stale surgical-code rows first, then out-of-file rows, then Phase 4 NEW rows. Do not dispatch PR owners from rows marked STALE,
# OUT_OF_FILE, or NO_CITE unless the PR packet explicitly says the cite is historical/negative evidence rather than the edit target.
pr_number	pr_title	spec_cite	actual_path_on_main	actual_line_or_status	status	notes
1	chore(repo): gitignore + LFS hygiene	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
2	chore(deps): pyproject runtime + bake extras + CVE fixes	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
3	fix(pipeline): topo-sort consumes overrides= to break dual-cycles	handlers/terrain_pipeline.py:1449,1510	veilbreakers_terrain/handlers/terrain_pipeline.py	1449,1510	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 1449: in topological order so the registry reflects a valid execution | 1510: supports_region_scope=False,
4	fix(pipeline): wire 8 orphan passes into builddefaultpasssequence + carry C-1 amendment	handlers/terrain_pipeline.py:169,261	veilbreakers_terrain/handlers/terrain_pipeline.py	169,261	VALID	matches CODEX1 classification after git-show reprobe; default pass-sequence area verified; lines contain pass ordering list and validation warnings
5a	fix(water): drop legacy watersurface channel writes (W-1 step 1)	handlers/terrain_water_variants.py:781,878	veilbreakers_terrain/handlers/terrain_water_variants.py	781,878	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 781: for lake in perched: | 878: ),
5b	fix(water): register canonical W-1 channels (watersurfacemask/watersurfaceelevationm/waterdepthm) and migrate 4 consumers	terrain_unity_export.py:2270,2278	veilbreakers_terrain/handlers/terrain_unity_export.py	2270,2278	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 2270: ) | 2278: from .light_integration import compute_light_placements
5b	fix(water): register canonical W-1 channels (watersurfacemask/watersurfaceelevationm/waterdepthm) and migrate 4 consumers	terrain_navmesh_export.py:201,329	veilbreakers_terrain/handlers/terrain_navmesh_export.py	201,329	VALID	matches CODEX1 classification after git-show reprobe; legacy water_surface consumer lines verified; valid migration target
6	MOVED to Block 4 (§11.4) per Phase 2 Fix 2.2 — aligntonormal default flip is correctness/polish, not pipeline blocker. See §11.4 PR #6.	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
6.5	feat(tests): render-baseline PNGs + comparerendertogolden SSIM 0.95 wired into CI (subset of B5-T1, baseline + harness only — promoted to Block 1 to unblock PR #6 render-proof acceptance)	waterfall_plunge_pool}/baseline.png	waterfall_plunge_pool}/baseline.png	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
6.5	feat(tests): render-baseline PNGs + comparerendertogolden SSIM 0.95 wired into CI (subset of B5-T1, baseline + harness only — promoted to Block 1 to unblock PR #6 render-proof acceptance)	tests/test_golden_scenarios.py	veilbreakers_terrain/tests/test_golden_scenarios.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
