#,File,Function,Line,R1: Opus 4.6,R1: Codex (gpt-5-codex),R1: Gemini 3.1 Pro Preview,R1 Consensus,R2 Verified Grade,R2 Verdict,R3 Grade,R3 Agrees With,R4 Grade,R4 Agrees With,FINAL GRADE,Dispute Reason,Evidence,AAA Equivalent,Strength,Weakness,Upgrade,Severity,R5 Opus 4.7 Grade,R5 Agrees With,R5 Notes,R6 Opus 4.7 wave-2 Grade,R6 Agrees With,R6 Notes,R7 MCP Verdict,R8 Deep Dive Verdict,R9 Phase7-14 Consensus,R10 GPT-5.5 AAA Regrade,R10 Verification Status,R10 Notes
95,terrain_advanced.py,TerrainLayer.__init__,468,B+,—,—,B+,B+,AGREE,—,—,—,—,B+,,"Uses __slots__, validated blend-mode enum, zeroed float64 numpy storage, strength clamped to [0,1]. Functional but missing mask/visibility/dirty-rect channels that AAA layer systems carry. B+ is fair.",Gaea Layer / World Machine Layer View / Houdini Heightfield Layer,"Enforces a validated blend-mode enum, uses __slots__, zeroed float64 numpy storage, and clamps strength to [0,1] for predictable blend behavior.","Stores only heights — no mask/visibility channel, no per-layer bounding box, no dirty-region tracking — AAA layer systems also carry mask, opacity, and material-ID channels.","Add an optional mask numpy array, a visibility flag, and a dirty-rect for incremental flatten_layers.",polish,,,,B+,PRIOR-CONSENSUS,None significant. __slots__ is good practice.,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
275,procedural_meshes.py,_auto_detect_sharp_edges,132,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),"R6: prior A- -> R6 B+. O(FV) — for a 100k-face mesh with avg-face-size 4, runs 400k inner-loop iterations. Doesn't handle non-manifold edges (3+ faces per edge) — silently skipped.",O(F) per face for normal computation is fine; the edge-face dict assembly is correct.,Standard sharp-edge detection.,Newell's method face normal + dihedral angle threshold. Boundary edges always sharp.,O(F) per face for normal computation is fine; the edge-face dict assembly is correct.,vectorize via numpy if faces > 10K.,polish,A-,NEW,,B+,DISPUTE,"O(FV) — for a 100k-face mesh with avg-face-size 4, runs 400k inner-loop iterations. Doesn't handle non-manifold edges ... [SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16]",,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
276,procedural_meshes.py,_auto_generate_box_projection_uvs,192,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),,this is the cheapest possible UV generation — all weapons get the SAME UV layout regardless of geometry shape. Cylindrical objects get smashed UVs. Result: visible texture stretching on every non-box asset.,,bounding-box projection UVs along XZ or XY.,this is the cheapest possible UV generation — all weapons get the SAME UV layout regardless of geometry shape. Cylindrical objects get smashed UVs. Result: visible texture stretching on every non-box asset.; AAA gap: Quixel Megascans use UV-unwrapped meshes with proper seam placement. Smart UV Proj…,switch to per-face triplanar UVs OR call Blender's smart_project bpy.ops on Blender side and bake.,important,C+,NEW,,C+,PRIOR-CONSENSUS,A vertical wall projected XZ→UV has zero UV variation in V (all verts have same Z). Will produce stretched/smeared tex... [SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
277,procedural_meshes.py,_make_result,233,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),"R6: prior A- -> R6 B. auto_uv=True triggers the broken _auto_generate_box_projection_uvs for every mesh that doesn't pass UVs (which is almost all of them in this slice). So the bug above propagates. No tangent space, n...",Packages mesh dict with sharp-edge auto-detection and dimensions. Clean. ### `_alias_generator_category` / `_GeneratorRegistry` (lines 282-300) — A- Backward-compat alias system for category renames. Reasonable design.,,Packages mesh dict with sharp-edge auto-detection and dimensions. Clean. ### `_alias_generator_category` / `_GeneratorRegistry` (lines 282-300) — A-…,,,polish,A-,NEW,,B,DISPUTE,auto_uv=True triggers the broken _auto_generate_box_projection_uvs for every mesh that doesn't pass UVs (which is almo... [SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
278,procedural_meshes.py,_compute_dimensions,335,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),"R6: prior A -> R6 B+. Returns a string-keyed dict where caller may want a Vector — minor. Returns 0.0 for empty input which masks the ""no verts"" condition.",Single-pass min/max in one scan. Optimal. ### `_circle_points` / `_make_box` / `_make_cylinder` / `_make_cone` / `_make_torus_ring` / `_make_tapered_cylinder` (lines 370-585) — A- Primitive constructors using cached trig. Production-quality utility code.,,Single-pass min/max in one scan. Optimal. ### `_circle_points` / `_make_box` / `_make_cylinder` / `_make_cone` / `_make_torus_ring` / `_make_tapered_…,,,polish,A,NEW,,B+,DISPUTE,"Returns a string-keyed dict where caller may want a Vector — minor. Returns 0.0 for empty input which masks the ""no ve... [SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16]",,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
279,procedural_meshes.py,_make_beveled_box,588,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),"R6: prior B+ -> R6 B. The _edge_pairs list at lines 642-658 is dead code — never read after being assigned. Bevel topology is HAND-WIRED in lines 673-686 with magic numbers (c0, c1, ax0, ax1) — fragile, easy to break, n...",24-vertex beveled cube with chamfered edges. The bevel logic is hand-coded and works but is fragile (relies on 12-edge enumeration). Should use Blender's bmesh.ops.bevel — but this is pure-logic and headless.,,24-vertex beveled cube with chamfered edges. The bevel logic is hand-coded and works but is fragile (relies on 12-edge enumeration). Should use Blend…,,,polish,B+,NEW,,B,DISPUTE,The _edge_pairs list at lines 642-658 is dead code — never read after being assigned. Bevel topology is HAND-WIRED in ... [SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],BUG-68: CONFIRMED,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
280,procedural_meshes.py,_enhance_mesh_detail,691,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),R6: prior B+ -> R6 B-. The bevel_offset=0.015 (1.5% of edge length) creates two new verts very close to the original endpoints — cluster of 4 verts on one edge. Will look like a beveled edge only if subsequent rendering ...,3-pass cap may not hit target on dense meshes; output may have non-manifold edges if sharp edges meet at vertices that are split independently.,,edge-collapse-style subdivision near sharp edges to reach min_vertex_count.,3-pass cap may not hit target on dense meshes; output may have non-manifold edges if sharp edges meet at vertices that are split independently.; AAA gap: production tools (Houdini) use proper subdivision modifiers (Catmull-Clark on quads).,Catmull-Clark subdivision instead of midpoint insertion.,polish,B+,NEW,,B-,DISPUTE,The bevel_offset=0.015 (1.5% of edge length) creates two new verts very close to the original endpoints — cluster of 4... [SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
281,procedural_meshes.py,_merge_meshes,853,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),"R6: prior A -> R6 B+. No duplicate-vertex merge — coincident verts at part interfaces (e.g. table top sitting flush on legs) become non-merged seams. No watertightness — the mesh remains a ""soup"" of independent shells. ...",Concat + index remap. Standard.,,Concat + index remap. Standard.,,,polish,A,NEW,,B+,DISPUTE,No duplicate-vertex merge — coincident verts at part interfaces (e.g. table top sitting flush on legs) become non-merg... [SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
282,procedural_meshes.py,_make_faceted_rock_shell,867,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),"R6: prior A- -> R6 B. Top/bottom caps are N-gons (line 952, 954) — cap winding for top is forward (CCW from above) but the top SHOULD face up, so winding looks correct; bottom winding range(segments-1,-1,-1) faces down ...","each generator hand-builds vertices/faces/UVs for one asset type with style variants (e.g. `style=""open_face""` for helmets). ref: Compared to Quixel Megascans (3D scanned, 4K PBR textured, LOD0-3 with billboards, photogrammetric quality) these are **parametric primitive assemblies** — boxes, cylind…",,"each generator hand-builds vertices/faces/UVs for one asset type with style variants (e.g. `style=""open_face""` for helmets). ref: Compared to Quixel…",,,polish,A-,NEW,,B,DISPUTE,"Top/bottom caps are N-gons (line 952, 954) — cap winding for top is forward (CCW from above) but the top SHOULD face u... [SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16]",,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
283,vegetation_lsystem.py,LSYSTEM_GRAMMARS,33,—,—,—,—,—,—,—,—,—,—,A,,"7 tree-type L-system grammars (oak, pine, birch, willow, dead, ancient, twisted). Reasonable starting set. Real SpeedTree has hundreds of species with measured biological parameters.",,"7 tree-type L-system grammars (oak, pine, birch, willow, dead, ancient, twisted). Reasonable starting set. Real SpeedTree has hundreds of species wit…",,,polish,B+,NEW,,,,,,,"A|2026-04-19: 7 tree types with stochastic weighted rules, parametric angle/length/gravity fields.",C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
