file,line,callable,kind,domain,subdomain,criticality,current_grade,grade_status,match_mode,upgrade_tier,verification_risk_level,verification_evidence_types,best_practice_authorities,best_practice_contract,when_to_use,do_not_use_for,required_callable_setup,upgrade_actions,validation_gates,anti_patterns_to_block,required_output_artifacts,implementation_phase
__init__.py,26,register_all,function,generic,general,medium,A,LOCK_WITH_REGRESSION_GATES,file_qualified,P3,,,General production Python;contract-first procedural pipelines,"Callable has typed inputs, deterministic behavior where applicable, clear invariants, direct tests, and no hidden production bypass.",Use only for small shared helpers or compatibility functions after checking whether a specific terrain domain callable is more appropriate.,Do not let generic helpers become production terrain behavior without a domain contract and tests.,"Add direct behavior tests, edge cases, invalid input tests, and integration tests if exposed.",Document invariants; add coverage; connect to a domain contract or mark internal/compatibility.,direct_tests|invalid_input|determinism_when_seeded|coverage|integration_if_exposed,untested_helper|silent_exception|ambiguous_units|hidden_side_effects,test_evidence|callable_matrix_row,Phase 0
__init__.py,50,_build_command_handlers,function,generic,general,medium,A,LOCK_WITH_REGRESSION_GATES,file_qualified,P3,,,General production Python;contract-first procedural pipelines,"Callable has typed inputs, deterministic behavior where applicable, clear invariants, direct tests, and no hidden production bypass.",Use only for small shared helpers or compatibility functions after checking whether a specific terrain domain callable is more appropriate.,Do not let generic helpers become production terrain behavior without a domain contract and tests.,"Add direct behavior tests, edge cases, invalid input tests, and integration tests if exposed.",Document invariants; add coverage; connect to a domain contract or mark internal/compatibility.,direct_tests|invalid_input|determinism_when_seeded|coverage|integration_if_exposed,untested_helper|silent_exception|ambiguous_units|hidden_side_effects,test_evidence|callable_matrix_row,Phase 0
_biome_grammar.py,46,_rng_from_seed,function,scatter_ecology,point_distribution,critical,B+,VERIFIED_LOW_RISK,file_qualified,P3,LOW,direct_test;module_test;live_probe,World Creator InstanceInfo/DetailInfo;Unreal PCG point data;Blender Geometry Nodes point scatter;Maya Bifrost/XGen,"Scatter emits typed point tables with position, normal, orient, scale, density, seed, prototype, species, biome, masks, LOD, and wind metadata.","Use when distributing foliage, rocks, props, debris, wildlife hints, biome details, exact instances, or dense detail layers.","Do not use for asset generation, material blending, or terrain shaping; consume those domains as masks/prototypes instead.",Callable must choose exact-instance or dense-detail mode and record all source masks and exclusions.,Canonicalize scatter path; convert provider/import formats to ScatterPointTable; enforce runtime altitude/slope/water checks. Existing weakness to resolve: Does not change biome grammar public signatures; output bytes intentionally shift once after RNG migration. Prior audit hint: Keep phase8 AST guard and biome grammar tests current.,point_schema|density_stats|blue_noise_or_distribution|collision_or_exclusion|asset_manifest|lod_budget,copy_pasted_meshes|hidden_random_scatter|scatter_without_provenance|audit_only_safety,scatter_points.parquet|scatter_manifest.json|detail_splatmaps|instance_pointcloud.csv,"Phase 4,9B"
_biome_grammar.py,56,resolve_biome_name,function,scatter_ecology,point_distribution,critical,C,VERIFIED_LOW_RISK,file_qualified,P3,LOW,direct_test;module_test;live_probe,World Creator InstanceInfo/DetailInfo;Unreal PCG point data;Blender Geometry Nodes point scatter;Maya Bifrost/XGen,"Scatter emits typed point tables with position, normal, orient, scale, density, seed, prototype, species, biome, masks, LOD, and wind metadata.","Use when distributing foliage, rocks, props, debris, wildlife hints, biome details, exact instances, or dense detail layers.","Do not use for asset generation, material blending, or terrain shaping; consume those domains as masks/prototypes instead.",Callable must choose exact-instance or dense-detail mode and record all source masks and exclusions.,Canonicalize scatter path; convert provider/import formats to ScatterPointTable; enforce runtime altitude/slope/water checks.,point_schema|density_stats|blue_noise_or_distribution|collision_or_exclusion|asset_manifest|lod_budget,copy_pasted_meshes|hidden_random_scatter|scatter_without_provenance|audit_only_safety,scatter_points.parquet|scatter_manifest.json|detail_splatmaps|instance_pointcloud.csv,"Phase 4,9B"
_biome_grammar.py,190,generate_world_map_spec,function,scatter_ecology,point_distribution,critical,A-,VERIFIED_LOW_RISK,file_qualified,P3,LOW,direct_test;module_test;live_probe,World Creator InstanceInfo/DetailInfo;Unreal PCG point data;Blender Geometry Nodes point scatter;Maya Bifrost/XGen,"Scatter emits typed point tables with position, normal, orient, scale, density, seed, prototype, species, biome, masks, LOD, and wind metadata.","Use when distributing foliage, rocks, props, debris, wildlife hints, biome details, exact instances, or dense detail layers.","Do not use for asset generation, material blending, or terrain shaping; consume those domains as masks/prototypes instead.",Callable must choose exact-instance or dense-detail mode and record all source masks and exclusions.,Canonicalize scatter path; convert provider/import formats to ScatterPointTable; enforce runtime altitude/slope/water checks. Existing weakness to resolve: Voronoi is fixed-weight — no biome-count rebalancing based on temperature/moisture gradients; flatten zones are circular only. Prior audit hint: Climate-driven Voronoi weighting; rectangular flatten zones for linear building footprints.,point_schema|density_stats|blue_noise_or_distribution|collision_or_exclusion|asset_manifest|lod_budget,copy_pasted_meshes|hidden_random_scatter|scatter_without_provenance|audit_only_safety,scatter_points.parquet|scatter_manifest.json|detail_splatmaps|instance_pointcloud.csv,"Phase 4,9B"
_biome_grammar.py,355,_generate_corruption_map,function,scatter_ecology,point_distribution,critical,B,VERIFIED_LOW_RISK,file_qualified,P3,LOW,module_test;live_probe,World Creator InstanceInfo/DetailInfo;Unreal PCG point data;Blender Geometry Nodes point scatter;Maya Bifrost/XGen,"Scatter emits typed point tables with position, normal, orient, scale, density, seed, prototype, species, biome, masks, LOD, and wind metadata.","Use when distributing foliage, rocks, props, debris, wildlife hints, biome details, exact instances, or dense detail layers.","Do not use for asset generation, material blending, or terrain shaping; consume those domains as masks/prototypes instead.",Callable must choose exact-instance or dense-detail mode and record all source masks and exclusions.,Canonicalize scatter path; convert provider/import formats to ScatterPointTable; enforce runtime altitude/slope/water checks.,point_schema|density_stats|blue_noise_or_distribution|collision_or_exclusion|asset_manifest|lod_budget,copy_pasted_meshes|hidden_random_scatter|scatter_without_provenance|audit_only_safety,scatter_points.parquet|scatter_manifest.json|detail_splatmaps|instance_pointcloud.csv,"Phase 4,9B"
_biome_grammar.py,457,_box_filter_2d,function,scatter_ecology,point_distribution,critical,A,VERIFIED_LOW_RISK,file_qualified,P3,LOW,module_test;live_probe,World Creator InstanceInfo/DetailInfo;Unreal PCG point data;Blender Geometry Nodes point scatter;Maya Bifrost/XGen,"Scatter emits typed point tables with position, normal, orient, scale, density, seed, prototype, species, biome, masks, LOD, and wind metadata.","Use when distributing foliage, rocks, props, debris, wildlife hints, biome details, exact instances, or dense detail layers.","Do not use for asset generation, material blending, or terrain shaping; consume those domains as masks/prototypes instead.",Callable must choose exact-instance or dense-detail mode and record all source masks and exclusions.,"Canonicalize scatter path; convert provider/import formats to ScatterPointTable; enforce runtime altitude/slope/water checks. Existing weakness to resolve: Still a narrow helper rather than a full terrain feature; pure-NumPy fallback is box blur only, not a richer filtering toolkit. Prior audit hint: No urgent algorithmic rewrite needed; only keep parity tests and benchmark coverage.",point_schema|density_stats|blue_noise_or_distribution|collision_or_exclusion|asset_manifest|lod_budget,copy_pasted_meshes|hidden_random_scatter|scatter_without_provenance|audit_only_safety,scatter_points.parquet|scatter_manifest.json|detail_splatmaps|instance_pointcloud.csv,"Phase 4,9B"
_biome_grammar.py,540,_distance_from_mask,function,scatter_ecology,point_distribution,critical,A,VERIFIED_LOW_RISK,file_qualified,P3,LOW,module_test;live_probe,World Creator InstanceInfo/DetailInfo;Unreal PCG point data;Blender Geometry Nodes point scatter;Maya Bifrost/XGen,"Scatter emits typed point tables with position, normal, orient, scale, density, seed, prototype, species, biome, masks, LOD, and wind metadata.","Use when distributing foliage, rocks, props, debris, wildlife hints, biome details, exact instances, or dense detail layers.","Do not use for asset generation, material blending, or terrain shaping; consume those domains as masks/prototypes instead.",Callable must choose exact-instance or dense-detail mode and record all source masks and exclusions.,Canonicalize scatter path; convert provider/import formats to ScatterPointTable; enforce runtime altitude/slope/water checks. Existing weakness to resolve: Fallback path is still an approximate chamfer scan with Python loops; if SciPy disappeared project-wide this would drop below the fast-path quality bar. Prior audit hint: No urgent rewrite; keep parity tests and prefer SciPy in production environments.,point_schema|density_stats|blue_noise_or_distribution|collision_or_exclusion|asset_manifest|lod_budget,copy_pasted_meshes|hidden_random_scatter|scatter_without_provenance|audit_only_safety,scatter_points.parquet|scatter_manifest.json|detail_splatmaps|instance_pointcloud.csv,"Phase 4,9B"
_biome_grammar.py,625,apply_periglacial_patterns,function,scatter_ecology,point_distribution,critical,A,VERIFIED_LOW_RISK,file_qualified,P3,LOW,direct_test;module_test;live_probe,World Creator InstanceInfo/DetailInfo;Unreal PCG point data;Blender Geometry Nodes point scatter;Maya Bifrost/XGen,"Scatter emits typed point tables with position, normal, orient, scale, density, seed, prototype, species, biome, masks, LOD, and wind metadata.","Use when distributing foliage, rocks, props, debris, wildlife hints, biome details, exact instances, or dense detail layers.","Do not use for asset generation, material blending, or terrain shaping; consume those domains as masks/prototypes instead.",Callable must choose exact-instance or dense-detail mode and record all source masks and exclusions.,Canonicalize scatter path; convert provider/import formats to ScatterPointTable; enforce runtime altitude/slope/water checks. Existing weakness to resolve: Python loop over n_centers for distance (O(N*H*W)) — scales poorly; uses np.random.RandomState (legacy); no orientation (real stone stripes align with slope).; R5: Voronoi via Python loop over centers (line 375-377) — for 100 centers on 1024² grid that's 100 × 1M numpy ops = ~1.5s. `scipy.spatial.cKDTree.query` would do this in ~50ms. Prior audit hint: Use KDTree or broadcast to single numpy op; add slope-aligned striping.,point_schema|density_stats|blue_noise_or_distribution|collision_or_exclusion|asset_manifest|lod_budget,copy_pasted_meshes|hidden_random_scatter|scatter_without_provenance|audit_only_safety,scatter_points.parquet|scatter_manifest.json|detail_splatmaps|instance_pointcloud.csv,"Phase 4,9B"
_biome_grammar.py,751,apply_desert_pavement,function,scatter_ecology,point_distribution,critical,A,VERIFIED_LOW_RISK,file_qualified,P3,LOW,direct_test;module_test;live_probe,World Creator InstanceInfo/DetailInfo;Unreal PCG point data;Blender Geometry Nodes point scatter;Maya Bifrost/XGen,"Scatter emits typed point tables with position, normal, orient, scale, density, seed, prototype, species, biome, masks, LOD, and wind metadata.","Use when distributing foliage, rocks, props, debris, wildlife hints, biome details, exact instances, or dense detail layers.","Do not use for asset generation, material blending, or terrain shaping; consume those domains as masks/prototypes instead.",Callable must choose exact-instance or dense-detail mode and record all source masks and exclusions.,"Canonicalize scatter path; convert provider/import formats to ScatterPointTable; enforce runtime altitude/slope/water checks. Existing weakness to resolve: Still simplified: low-area/slope heuristic only; no richer desert armoring logic, clast sorting, or multi-material sediment behavior. Prior audit hint: Add richer desert-material classification if visual targets demand it; no urgent perf rewrite remains.",point_schema|density_stats|blue_noise_or_distribution|collision_or_exclusion|asset_manifest|lod_budget,copy_pasted_meshes|hidden_random_scatter|scatter_without_provenance|audit_only_safety,scatter_points.parquet|scatter_manifest.json|detail_splatmaps|instance_pointcloud.csv,"Phase 4,9B"
