#,File,Function,Line,Opus 4.6,Codex (gpt-5-codex),Gemini 3.1 Pro Preview,Consensus,AAA Equivalent,Strength,Weakness,Upgrade,Severity
1,_biome_grammar.py,_box_filter_2d,279,—,B,—,B,,,,,important
2,_biome_grammar.py,_distance_from_mask,305,—,B,—,B,,,,,important
3,_biome_grammar.py,_generate_corruption_map,231,—,A-,—,A-,,,,,polish
4,_biome_grammar.py,apply_desert_pavement,392,B,A-,—,B+,Gaea Desert/Arid node,Slope+elevation mask combo for pavement zones; returns mask for shader use; box filter in numpy (no scipy).,Pure-numpy box filter via _box_filter_2d has O(H*W) Python loop — slow on 1k+ grids.,Use np.cumsum-based vectorized integral-image computation.,polish
5,_biome_grammar.py,apply_geological_folds,721,B,A-,—,B+,Gaea Stratify + Tilt nodes combined,"Three fold types (anticline/syncline/chevron), random strike direction, chevron uses triangular wave.",Adds folds linearly — real tectonic folds scale fold amplitude with cumulative strain and plunge along axis.,Add plunging-fold support (amplitude varies along strike).,polish
6,_biome_grammar.py,apply_hot_spring_features,549,B,B+,—,B+,Yellowstone travertine terraces reference (Hell Let Loose / Horizon),Pool depression + concentric terrace rings with diminishing step_h — readable geology pattern. Returns spring metadata for VFX wiring.,"Perfect circular rings; real travertine is asymmetric (downhill-biased, irregular ridges).",Skew rings downhill; perturb ring_r by noise.,polish
7,_biome_grammar.py,apply_landslide_scars,482,B,B,—,B,Gaea Slump / Skyrim landslide scars,"Slope-weighted origin sampling, concave scar + convex deposit fan with 60% volume conservation heuristic — geologically motivated.",Scar mask is concentric circle (uphill vs downhill not asymmetric); deposit placement uses gradient at origin only — doesn't flow along actual descent path.,Trace downslope path and distribute deposits along travel line; elongate scar uphill only.,polish
8,_biome_grammar.py,apply_periglacial_patterns,340,B-,B,—,B,Gaea frost-heave micro-relief,Voronoi cell boundaries as polygon ridges — correct physics intuition for permafrost pattern.,Python loop over n_centers for distance (O(N*H*W)) — scales poorly; uses np.random.RandomState (legacy); no orientation (real stone stripes align with slope).,Use KDTree or broadcast to single numpy op; add slope-aligned striping.,polish
9,_biome_grammar.py,apply_reef_platform,615,B-,B,—,B,Horizon Forbidden West coral reef authoring,Uses _distance_from_mask transform; reef band centered on half-width; clamps to sea_level. Honest early-return when coastline absent.,Uniform reef around whole coast; real reefs are biased toward warm/shallow-gradient shores.,Gate by tidal_range and distance-from-land to avoid reefs in deep-water-hugging coasts.,polish
10,_biome_grammar.py,apply_tafoni_weathering,665,B-,B+,—,B,Honeycomb weathering decals (Megascans),"Steep-slope weighted sampling, elliptical cavity shape; proper intensity gate.",50 cavities over full heightmap is sparse — honeycomb weathering is by definition dense; cavity depth flat (no interior texture).,Scale cavity count with steep area; layer micro+macro cavities.,polish
11,_biome_grammar.py,compute_spring_line_mask,437,B,B+,—,B+,Hydrological seepage analysis (Houdini/Arcgis),Mid-slope band + elevation-contour boundaries — correct two-factor filter for spring emergence.,"Layer boundaries placed by elevation quantization — real geology uses stratigraphic dip, not level contours. Narrow bands (exp/0.001) can miss entirely at some resolutions.",Use actual stratigraphy (from terrain_stratigraphy) rather than quantized elevation.,important
12,_biome_grammar.py,generate_world_map_spec,120,B+,B+,—,B+,UE5 PCG World Partition biome graph / Witcher 3 region splitter,"Voronoi biome distribution with soft transitions, corruption fBm map with separate seed, building-plot flatten zones with padded radius, per-biome climate params, name resolution via alias dict.",Voronoi is fixed-weight — no biome-count rebalancing based on temperature/moisture gradients; flatten zones are circular only.,Climate-driven Voronoi weighting; rectangular flatten zones for linear building footprints.,polish
13,_biome_grammar.py,resolve_biome_name,36,—,A-,—,A-,,,,,polish
14,_terrain_depth.py,detect_cliff_edges,448,B+,A-,—,A-,Houdini Edge Detection / Gaea Slope mask with clustering,Real slope-map gradient + flood-fill clustering + gradient-derived facing angle. Includes dimensional-units bug fix (TERR-001) with proper height_scale propagation.,Python for-loop flood-fill is O(N) but slow on large grids; Dr. cluster rotation uses only center cell gradient (not PCA over cluster); no confidence/overlap score.,Switch to scipy.ndimage.label for O(HW) label pass and fit oriented bounding box via PCA of cluster cells for rotation.,polish
15,_terrain_depth.py,generate_biome_transition_mesh,234,D+,B,C,C,UE Landscape layer blend / Witcher 3 biome transition,Writes vertex_groups for blend weight — shader-pipeline aware.,"Flat plane with trivial Gaussian bumps. Blend is linear across x. No actual biome-specific geometry (roots, moss hummocks, puddles).",Height should sample from biome-specific heightmap; blend factor should be noise-displaced not straight-linear.,important
