File,Qualified Name,Function,Line,Kind,Scope,R12 Domain,Research Refs,Best Practice Baseline,R12 Strict Grade,R12 Remediation,Wiring Status,R12 Findings
veilbreakers_terrain/handlers/environment.py,_export_splatmap_raw,_export_splatmap_raw,1288,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|INFINIGEN,"Use world hierarchy, deterministic chunking, screen-error/LOD budgets, virtual texture/cache strategy, engine import smoke tests, and streaming performance gates.",C+,ADD_LIVE_VISUAL_GOLDEN,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. LOD/export domain lacks engine import or streaming gate proof."
veilbreakers_terrain/handlers/environment.py,handle_export_unity_bundle,handle_export_unity_bundle,7856,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|INFINIGEN,"Use world hierarchy, deterministic chunking, screen-error/LOD budgets, virtual texture/cache strategy, engine import smoke tests, and streaming performance gates.",C+,ADD_LIVE_VISUAL_GOLDEN,runtime_primary,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Product terrain domain lacks attached live visual golden/render proof. LOD/export domain lacks engine import or streaming gate proof."
veilbreakers_terrain/handlers/terrain_audio_zones.py,export_zones_to_wwise_csv,export_zones_to_wwise_csv,816,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|INFINIGEN,"Use world hierarchy, deterministic chunking, screen-error/LOD budgets, virtual texture/cache strategy, engine import smoke tests, and streaming performance gates.",C,WIRE_OR_DEPRECATE,test_only_or_unwired,Wiring scan status is test_only_or_unwired; production path is not proven. Product terrain domain lacks attached live visual golden/render proof. LOD/export domain lacks engine import or streaming gate proof.
veilbreakers_terrain/handlers/terrain_budget_enforcer.py,_estimate_tri_count_per_lod,_estimate_tri_count_per_lod,252,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|INFINIGEN,"Use world hierarchy, deterministic chunking, screen-error/LOD budgets, virtual texture/cache strategy, engine import smoke tests, and streaming performance gates.",C,ADD_DIRECT_TESTS,helper_reachable,"Runtime path exists, but direct test evidence is missing. Structural/helper callable: cannot exceed C+ without direct contract tests and parent-surface proof. Product terrain domain lacks attached live visual golden/render proof. LOD/export domain lacks engine import or streaming gate proof."
veilbreakers_terrain/handlers/terrain_chunking.py,compute_chunk_lod,compute_chunk_lod,95,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|INFINIGEN,"Use world hierarchy, deterministic chunking, screen-error/LOD budgets, virtual texture/cache strategy, engine import smoke tests, and streaming performance gates.",C,WIRE_OR_DEPRECATE,test_only_or_unwired,Wiring scan status is test_only_or_unwired; production path is not proven. Product terrain domain lacks attached live visual golden/render proof. LOD/export domain lacks engine import or streaming gate proof.
veilbreakers_terrain/handlers/terrain_chunking.py,compute_streaming_distances,compute_streaming_distances,155,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|INFINIGEN,"Use world hierarchy, deterministic chunking, screen-error/LOD budgets, virtual texture/cache strategy, engine import smoke tests, and streaming performance gates.",C+,ADD_LIVE_VISUAL_GOLDEN,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Product terrain domain lacks attached live visual golden/render proof. LOD/export domain lacks engine import or streaming gate proof."
veilbreakers_terrain/handlers/terrain_chunking.py,export_chunks_metadata,export_chunks_metadata,448,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|INFINIGEN,"Use world hierarchy, deterministic chunking, screen-error/LOD budgets, virtual texture/cache strategy, engine import smoke tests, and streaming performance gates.",C,WIRE_OR_DEPRECATE,test_only_or_unwired,Wiring scan status is test_only_or_unwired; production path is not proven. Product terrain domain lacks attached live visual golden/render proof. LOD/export domain lacks engine import or streaming gate proof.
veilbreakers_terrain/handlers/terrain_chunking.py,build_chunk_seam_manifest,build_chunk_seam_manifest,817,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|INFINIGEN,"Use world hierarchy, deterministic chunking, screen-error/LOD budgets, virtual texture/cache strategy, engine import smoke tests, and streaming performance gates.",C+,ADD_LIVE_VISUAL_GOLDEN,helper_reachable,"Runtime/test evidence exists, but strict AAA evidence is incomplete. Product terrain domain lacks attached live visual golden/render proof. LOD/export domain lacks engine import or streaming gate proof."
veilbreakers_terrain/handlers/terrain_destructibility_patches.py,export_destructibility_json,export_destructibility_json,155,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|INFINIGEN,"Use world hierarchy, deterministic chunking, screen-error/LOD budgets, virtual texture/cache strategy, engine import smoke tests, and streaming performance gates.",C,WIRE_OR_DEPRECATE,test_only_or_unwired,Wiring scan status is test_only_or_unwired; production path is not proven. Product terrain domain lacks attached live visual golden/render proof. LOD/export domain lacks engine import or streaming gate proof.
veilbreakers_terrain/handlers/terrain_footprint_surface.py,export_footprint_data_json,export_footprint_data_json,104,function,runtime_handler,lod_streaming_export,FROSTBITE_TERRAIN|INFINIGEN,"Use world hierarchy, deterministic chunking, screen-error/LOD budgets, virtual texture/cache strategy, engine import smoke tests, and streaming performance gates.",C,WIRE_OR_DEPRECATE,test_only_or_unwired,Wiring scan status is test_only_or_unwired; production path is not proven. Product terrain domain lacks attached live visual golden/render proof. LOD/export domain lacks engine import or streaming gate proof.
