"File","Qualified Name","Current R12 Grade","Manual Grade","Action","Evidence Summary","Best Practice Gap","Output Proof Present"
"veilbreakers_terrain/handlers/terrain_hierarchy.py","FeatureBudget","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_hierarchy.py","classify_feature_tier","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_hierarchy.py","enforce_feature_budget","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_hierarchy.py","enforce_feature_budget._footprint","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_hierarchy.py","enforce_feature_budget._tier_rank","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_hierarchy.py","enforce_feature_budget._saliency","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_hierarchy.py","enforce_feature_budget._feature_id","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_hierarchy.py","enforce_feature_budget._tri_estimate","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_hot_reload.py","_safe_reload","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_hot_reload.py","HotReloadWatcher","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_hot_reload.py","HotReloadWatcher.add","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_hot_reload.py","HotReloadWatcher.check_and_reload","C+","C+","PROVE_PARENT_CONTRACT_OR_INLINE","Helper is reachable and has some evidence, but parent-surface contract proof is incomplete under the R12/R13 B gate.","Prove the parent/runtime contract with direct tests for the helper behavior, or inline/delete the helper.","No"
"veilbreakers_terrain/handlers/terrain_hot_reload.py","HotReloadWatcher.force_reload_all","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_hot_reload.py","HotReloadWatcher.clear_errors","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_hot_reload.py","force_reload_all","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","_get_peak_memory_mb","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.__enter__","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.__exit__","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but callable has no wiring row; runtime path is unproven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.record","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.reset","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.merge","C","C","ADD_DIRECT_TESTS","Reachable helper evidence exists through parent/runtime code, but direct callable contract tests are missing or insufficient.","Add deterministic direct tests for the callable and tie assertions to the declared runtime/parent contract.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.avg_pass_duration_s","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.cache_hit_rate","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.p50_duration_s","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.p95_duration_s","C","C","WIRE_OR_DEPRECATE","Tests or static references exist, but production runtime path is not proven; R12 wiring status=test_only_or_unwired.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.p99_duration_s","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.max_duration_s","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
"veilbreakers_terrain/handlers/terrain_iteration_metrics.py","IterationMetrics.slowest_pass_name","D+","D+","WIRE_OR_DEPRECATE","Implementation exists, but wiring scan marks it orphan_candidate; no production caller/runtime path was proven.","Prove production runtime wiring or remove/deprecate the callable; no B without runtime wiring plus direct tests plus parent/runtime contract proof.","No"
