capability_name,canonical_bpy_call,handler_that_uses_it,mcp_command_that_exposes_it,test_coverage,gap_notes
bmesh.ops.subdivide_edges,bmesh.ops.subdivide_edges,handlers/_mesh_bridge.py;handlers/environment.py,blender_bmesh_op (subdivide not wired - use modifier_add SUBSURF),test_mcp_dispatch.py,subdivide exposed via SUBSURF modifier path rather than direct bmesh op
bmesh.ops.bevel,bmesh.ops.bevel,handlers/blender_capability_bridge.py,blender_bmesh_op (op=bevel),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
bmesh.ops.poke,bmesh.ops.poke,handlers/blender_capability_bridge.py,blender_bmesh_op (op=poke),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
bmesh.ops.triangulate,bmesh.ops.triangulate,handlers/blender_capability_bridge.py;handlers/terrain_navmesh_export.py,blender_bmesh_op (op=triangulate),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
bmesh.ops.dissolve_edges,bmesh.ops.dissolve_edges,handlers/blender_capability_bridge.py,blender_bmesh_op (op=dissolve_edges),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
bmesh.ops.dissolve_faces,bmesh.ops.dissolve_faces,handlers/blender_capability_bridge.py,blender_bmesh_op (op=dissolve_faces),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
bmesh.ops.dissolve_verts,bmesh.ops.dissolve_verts,handlers/blender_capability_bridge.py,blender_bmesh_op (op=dissolve_verts),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
bmesh.ops.intersect_boolean,bmesh.ops.intersect_boolean,handlers/blender_capability_bridge.py,blender_bmesh_op (op=boolean),test_blender_capability_audit_has_full_coverage,Phase J: newly wired; falls back to BOOLEAN modifier if bmesh op unavailable
bmesh.from_mesh,bmesh.new()/bmesh.from_mesh,handlers/_mesh_bridge.py;handlers/terrain_cliffs.py;handlers/terrain_advanced.py;handlers/environment.py;handlers/environment_scatter.py;handlers/terrain_caves.py;handlers/vegetation_system.py;handlers/terrain_sculpt.py,implicit via higher-level handlers,test_terrain_sculpt.py,Core bmesh entry - used by many handlers
modifier Subdivision,obj.modifiers.new(type=SUBSURF),handlers/blender_capability_bridge.py,blender_modifier_add (type=SUBSURF),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
modifier Array,obj.modifiers.new(type=ARRAY),handlers/blender_capability_bridge.py,blender_modifier_add (type=ARRAY),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
modifier Mirror,obj.modifiers.new(type=MIRROR),handlers/blender_capability_bridge.py,blender_modifier_add (type=MIRROR),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
modifier Solidify,obj.modifiers.new(type=SOLIDIFY),handlers/blender_capability_bridge.py,blender_modifier_add (type=SOLIDIFY),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
modifier Boolean,obj.modifiers.new(type=BOOLEAN),handlers/blender_capability_bridge.py;handlers/terrain_blender_safety.py,blender_modifier_add (type=BOOLEAN) + safety_boolean,test_blender_capability_audit_has_full_coverage,Phase J: newly wired; safety gate via terrain_boolean_safety_check
modifier Curve,obj.modifiers.new(type=CURVE),handlers/blender_capability_bridge.py,blender_modifier_add (type=CURVE),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
modifier Decimate,obj.modifiers.new(type=DECIMATE),handlers/blender_capability_bridge.py;handlers/lod_pipeline.py;handlers/terrain_caves.py,blender_modifier_add (type=DECIMATE) + terrain_generate_lods,test_blender_capability_audit_has_full_coverage;test_lod_pipeline.py,Phase J: now also reachable as generic modifier_add
modifier Remesh,obj.modifiers.new(type=REMESH),handlers/blender_capability_bridge.py,blender_modifier_add (type=REMESH),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
modifier Displace,obj.modifiers.new(type=DISPLACE),handlers/blender_capability_bridge.py,blender_modifier_add (type=DISPLACE),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
modifier Geometry Nodes,obj.modifiers.new(type=NODES),handlers/blender_capability_bridge.py,blender_modifier_add (type=NODES) + blender_geometry_nodes_assign_to_object,test_geometry_nodes_round_trip,Phase J: newly wired
modifier apply,bpy.ops.object.modifier_apply,handlers/blender_capability_bridge.py,blender_modifier_apply,test_blender_capability_audit_has_full_coverage,Phase J: newly wired
modifier remove,obj.modifiers.remove,handlers/blender_capability_bridge.py,blender_modifier_remove,test_blender_capability_audit_has_full_coverage,Phase J: newly wired
modifier list,iterate obj.modifiers,handlers/blender_capability_bridge.py,blender_modifier_list,test_blender_capability_audit_has_full_coverage,Phase J: newly wired
vertex paint,bpy.ops.paint.vertex_paint + obj.data.vertex_colors,handlers/vertex_paint_live.py,vertex_paint_compute_weights;vertex_paint_compute_weights_uv;vertex_paint_blend_colors,test_vertex_paint_live.py,Offline weight math; Blender-side paint is driven by addon
weight paint,obj.vertex_groups.new + paint ops,handlers/vertex_paint_live.py,paint_weights,test_vertex_paint_live.py,Offline weight computation
sculpt Draw/Smooth/Clay/Crease/Grab/Inflate,bpy.ops.sculpt + bpy.context.tool_settings.sculpt,handlers/terrain_sculpt.py,terrain_sculpt (modes: raise/lower/smooth/flatten/stamp),test_terrain_sculpt.py,Brush modes abstracted to 5 ops; direct bpy sculpt brush switching NOT exposed (agents plan via operation string)
Principled BSDF + ShaderNodeTree,bpy.data.materials.new + nodes.new(ShaderNodeBsdfPrincipled),handlers/terrain_materials.py;handlers/procedural_materials.py;handlers/terrain_materials_v2.py,material_create_procedural;terrain_setup_biome,test_terrain_materials.py;test_aaa_terrain_vegetation.py,Full coverage - procedural materials + biome materials wired
material baking,bpy.ops.object.bake,handlers/lod_pipeline.py;handlers/_terrain_depth.py;handlers/terrain_caves.py;handlers/terrain_shadow_clipmap_bake.py,terrain_generate_lods (implicit);terrain_shadow_clipmap_bake,test_lod_pipeline.py,Baking used inside higher-level passes; no generic bake MCP command (add if agent needs raw bake)
texture painting,bpy.ops.paint.texture_paint + image_paint,none (not wired),none,none,GAP: no direct texture-paint MCP; route via procedural material + vertex paint instead
UV Smart Project,bpy.ops.uv.smart_project,handlers/blender_capability_bridge.py;handlers/terrain_materials.py,blender_uv_project (method=smart),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
UV Cube Project,bpy.ops.uv.cube_project,handlers/blender_capability_bridge.py,blender_uv_project (method=cube),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
UV Unwrap,bpy.ops.uv.unwrap,handlers/blender_capability_bridge.py,blender_uv_project (method=unwrap),test_blender_capability_audit_has_full_coverage,Phase J: newly wired
UV Pack,bpy.ops.uv.pack_islands,none (not wired),none,none,GAP: no direct UV-pack handler; Smart Project runs pack implicitly
particle systems,obj.particle_systems.new + settings,handlers/terrain_waterfalls.py;handlers/environment.py;handlers/terrain_semantics.py,pass_emit_particle_systems (pipeline-internal),test_terrain_waterfalls.py,Exported as VFX specs to Unity VFX Graph / Niagara rather than Blender particle runtime
hair systems,obj.particle_systems.new type=HAIR,none (not wired),none,none,GAP: vegetation scatter uses instances+curves instead of hair particles - by design
rigid body physics,obj.rigid_body (scene.rigidbody_world),none (not wired),none,none,GAP: not needed for static terrain; exposed via breakable-prop metadata to Unity
soft body physics,obj.soft_body,none (not wired),none,none,GAP: not needed; cloth/soft deformation belongs in runtime engine
fluid sim,obj.modifiers.new(FLUID),none (not wired),none,none,GAP: water flow uses procedural + shader-driven pipeline; fluid sim too slow for bakes
Eevee render,scene.render.engine = BLENDER_EEVEE_NEXT,handlers/blender_capability_bridge.py;handlers/terrain_visual_qa.py,blender_set_render_engine,test_blender_capability_audit_has_full_coverage,Phase J: newly wired; note Blender 4.5 uses EEVEE_NEXT
Cycles render,scene.render.engine = CYCLES,handlers/blender_capability_bridge.py,blender_set_render_engine,test_blender_capability_audit_has_full_coverage,Phase J: newly wired
OpenGL viewport render,bpy.ops.render.opengl,handlers/blender_capability_bridge.py;handlers/terrain_visual_qa.py,blender_render_still (mode=opengl);visual_qa_capture_screenshot,test_blender_capability_audit_has_full_coverage;test_terrain_visual_qa.py,Both generic and QA-specific paths wired
screenshot,bpy.ops.render.render + safety clamp,handlers/terrain_visual_qa.py;handlers/terrain_blender_safety.py,visual_qa_capture_screenshot;blender_render_still;safety_screenshot_size,test_terrain_visual_qa.py,Size clamped to 64-507 via terrain_blender_safety
collections,bpy.data.collections.new + link,handlers/blender_capability_bridge.py;handlers/lod_pipeline.py;handlers/environment_scatter.py;handlers/vegetation_system.py,blender_collection_create;blender_collection_link_object,test_blender_capability_audit_has_full_coverage,Phase J: direct collection control newly wired
parenting,obj.parent = other,handlers/blender_capability_bridge.py,blender_parent_set,test_blender_capability_audit_has_full_coverage,Phase J: newly wired
