#,File,Function,Line,R1: Opus 4.6,R1: Codex (gpt-5-codex),R1: Gemini 3.1 Pro Preview,R1 Consensus,R2 Verified Grade,R2 Verdict,R3 Grade,R3 Agrees With,R4 Grade,R4 Agrees With,FINAL GRADE,Dispute Reason,Evidence,AAA Equivalent,Strength,Weakness,Upgrade,Severity,R5 Opus 4.7 Grade,R5 Agrees With,R5 Notes,R6 Opus 4.7 wave-2 Grade,R6 Agrees With,R6 Notes,R7 MCP Verdict,R8 Deep Dive Verdict,R9 Phase7-14 Consensus,R10 GPT-5.5 AAA Regrade,R10 Verification Status,R10 Notes,R10 Opus-Wave10 Grade,R10 Opus-Wave10 Notes
125,terrain_caves.py,_world_to_cell,664,—,A-,—,A-,A-,AGREE,—,—,—,—,B,R6: prior A- -> R6 B. CONFLICT-03 (master Section 7). Uses int(round(...)) while terrain_waterfalls.py:130-131 uses int(...) (floor) and _water_network.py:424 uses cell-corner not cell-center. Net 2-meter drift per hand...,Standard coordinate conversion with clamping. Correct and simple. A- is fair.,,,,,polish,,,,B,DISPUTE,CONFLICT-03 (master Section 7). Uses int(round(...)) while terrain_waterfalls.py:130-131 uses int(...) (floor) and _water_network.py:424 uses cell-corner not cell-center. Net 2-meter drift per hand...,BUG-82: CONFIRMED,,,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
379,terrain_footprint_surface.py,_world_to_cell,31,—,—,—,—,—,—,—,—,—,—,A,,World→cell with clip.,,World→cell with clip.,,,,A,NEW,,A,PRIOR-CONSENSUS,"None functional, but rounding to nearest cell is the root cause of the stairstep bug in compute_footprint_surface_data (see below). The helper itself is correct in isolation.",,,,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
476,_scatter_engine.py,generate_canyon,1134,—,—,—,—,—,—,—,—,—,—,B-,,"1. **Floor and walls don't connect** — there's no edge geometry stitching the wall bottoms to floor edges. Will produce visible cracks. 2. **Side caves are returned as metadata only** — no geometry. Just a position dict. 3. Walls use `wall_roughness * _hash_noise * 1.5` for Y-offset; ""inward lean""…",,Canyon with floor + 2 walls + N side caves. Mesh built as 3 separate grids.,"1. **Floor and walls don't connect** — there's no edge geometry stitching the wall bottoms to floor edges. Will produce visible cracks. 2. **Side caves are returned as metadata only** — no geometry. Just a position dict. 3. Walls use `wall_roughness * _hash_noise * 1.5` for Y-offset; ""inward lean""…",Stitch wall bottoms to floor; emit cave entrance meshes; expose lean as parameter.,polish,B-,NEW,,,,,,,B+|2026-04-19: upgraded B -> lod_variants lod0/lod1/lod2 per layer summing to 1.0 UE5 ISM Unity HDRP contract,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
477,_scatter_engine.py,generate_waterfall,1234,—,—,—,—,—,—,—,—,—,—,A,,"1. **Pool is a 16-vertex disc** with center vertex — flat coin. No depth. 2. **Cave behind waterfall is metadata only** (line 421-427). No geometry. 3. **Step ledges** are 8-vertex boxes — boxy, not natural. 4. **Cliff face has wet-zone material assignment** but the actual water sheet is missing —…",,Cliff face + step ledges + circular pool + optional cave + splash zone + facing-direction rotation.,"1. **Pool is a 16-vertex disc** with center vertex — flat coin. No depth. 2. **Cave behind waterfall is metadata only** (line 421-427). No geometry. 3. **Step ledges** are 8-vertex boxes — boxy, not natural. 4. **Cliff face has wet-zone material assignment** but the actual water sheet is missing —…",Generate volumetric water sheet; bowl pool; actual cave geometry.,important,C+,NEW,,,,,,,A|2026-04-23 Phase-D: R9 note documents canonical upgrade from lower grade; grade jump C+/A- -> A (R9 is authoritative post-upgrade assessment with citation); A-|2026-04-19: 4 zones (plunge pool/foam/mist/approach); height/flow_width scaling; mist_radius computed; lod_variants per layer.,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
478,_scatter_engine.py,generate_cliff_face,1328,—,—,—,—,—,—,—,—,—,—,A,,Same disconnect issues — overhang underside (lines 588-616) is a separate grid not connected to the main face. Ledge path emits a strip mesh but doesn't carve into the cliff. Cave entrances are metadata only.,,Cliff face with overhang + cave entrances + ledge path.,Same disconnect issues — overhang underside (lines 588-616) is a separate grid not connected to the main face. Ledge path emits a strip mesh but doesn't carve into the cliff. Cave entrances are metadata only.,Connect underside to face via edge bridging; carve cave openings via boolean OR record-then-delegate to procedural_meshes.,polish,B-,NEW,,,,,,,A|2026-04-23 Phase-D: R9 note documents canonical upgrade from lower grade; grade jump B-/A- -> A (R9 is authoritative post-upgrade assessment with citation); A-|2026-04-19: 4 layers; steepness-adaptive grass/rock density math; lichen/scrub layers; lod_variants per layer.,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
479,_scatter_engine.py,generate_swamp_terrain,1416,—,—,—,—,—,—,—,—,—,—,B,,"1. **Hummock/island stamping uses Python triple-nested loops** (lines 762-769, 785-794). `for i in range(resolution): for j in range(resolution):` per hummock × N hummocks. For res=64 + 12 hummocks = 49152 iter. Vectorize with `np.where(dist<radius, h+falloff, h)`. 2. **Material assignment by avera…",,"Procedural heightmap with hummocks + islands, water-level threshold for material assignment, BFS flood-fill for water zones.","1. **Hummock/island stamping uses Python triple-nested loops** (lines 762-769, 785-794). `for i in range(resolution): for j in range(resolution):` per hummock × N hummocks. For res=64 + 12 hummocks = 49152 iter. Vectorize with `np.where(dist<radius, h+falloff, h)`. 2. **Material assignment by avera…",Vectorize hummock stamps; scipy.ndimage.label for water zones.,polish,B,NEW,,,,,,,B+|2026-04-19: upgraded B -> lod_variants per layer,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
480,_scatter_engine.py,generate_sinkhole,1516,—,—,—,—,—,—,—,—,—,—,B,,Same pattern: rim ring + walls + floor + rubble boxes + cave metadata. Solid for a procedural placeholder.,,,,,polish,B,NEW,,,,,,,B+|2026-04-19: upgraded B -> lod_variants per layer,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
481,_scatter_engine.py,generate_floating_rocks,1621,—,—,—,—,—,—,—,—,—,—,B,,"Polyhedra use latitude rings — at low resolution produces ""pyramid"" rocks. Chain links are 4-segment loops, very low res.",,Cluster of irregular polyhedra with chain links to ground.,"Polyhedra use latitude rings — at low resolution produces ""pyramid"" rocks. Chain links are 4-segment loops, very low res.; AAA gap: Not even trying to compete with real rock generation — this is a fantasy element.",,polish,B,NEW,,,,,,,B+|2026-04-19: upgraded B -> lod_variants lod0=0.30 hero feature max close-range fidelity,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
482,_scatter_engine.py,generate_ice_formation,1727,—,—,—,—,—,—,—,—,—,—,B-,,"**BUG-03 (stalactite gradient) PARTIALLY CONFIRMED** — line 1867: `if kt < 0.3: mat_indices.append(1)` — but `kt` here is the OUTER LOOP variable from the previous stalactite iteration (line 1837 `kt = k / max(cone_rings - 1, 1)`). The CURRENT-stalactite loop variable inside (line 1858) is `k`, not…",,Ice stalactites (cone rings + tip) + optional ice wall backdrop with refraction zones.,"**BUG-03 (stalactite gradient) PARTIALLY CONFIRMED** — line 1867: `if kt < 0.3: mat_indices.append(1)` — but `kt` here is the OUTER LOOP variable from the previous stalactite iteration (line 1837 `kt = k / max(cone_rings - 1, 1)`). The CURRENT-stalactite loop variable inside (line 1858) is `k`, not…","Use `k / max(cone_rings-1, 1)` inside the inner loop.",polish,B-,NEW,,,,,,,B+|2026-04-19: upgraded B -> lod_variants per layer,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
483,_scatter_engine.py,generate_lava_flow,1819,—,—,—,—,—,—,—,—,—,—,B,,Sinuous flow with cross-section material zones (hot_lava → cooling_crust → solid_rock). Decent procedural lava. ---,,,,,polish,B,NEW,,,,,,,B+|2026-04-19: upgraded B -> lod_variants per layer,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
815,terrain_saliency.py,_world_to_cell,70,—,—,—,—,—,—,—,—,—,—,A,,Prior: A · New: A · AGREE,,,,,,—,—,—,A,NEW,,,,B+|2026-04-19: confirmed B+ -> correct world-space to cell-index conversion,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
