File,Qualified Name,Current R12 Grade,Manual Grade,Action,Evidence Summary,Best Practice Gap
scripts/build_aaa_node_v1.py,compose_heightmap.carve_river,D+,D+,ADD_CI_GATE_OR_WIRE,Standalone script callable with no callable-wiring row; not a default terrain runtime path and lacks CI gate integration.,"No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
scripts/build_aaa_node_v1.py,_build_water_surfaces,D+,D+,ADD_CI_GATE_OR_WIRE,Standalone script callable with no callable-wiring row; not a default terrain runtime path and lacks CI gate integration.,"No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
scripts/build_aaa_node_v1.py,_build_waterfall_preview,D+,D+,ADD_CI_GATE_OR_WIRE,Standalone script callable with no callable-wiring row; not a default terrain runtime path and lacks CI gate integration.,"No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
scripts/build_aaa_node_v1.py,_assign_water_material,D+,D+,ADD_CI_GATE_OR_WIRE,Standalone script callable with no callable-wiring row; not a default terrain runtime path and lacks CI gate integration.,"No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
scripts/build_scene_v2.py,_make_water_plane,D+,D+,ADD_CI_GATE_OR_WIRE,Standalone script callable with no callable-wiring row; not a default terrain runtime path and lacks CI gate integration.,"No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
scripts/build_scene_v3.py,compose_heightmap.carve_river,D+,D+,ADD_CI_GATE_OR_WIRE,Standalone script callable with no callable-wiring row; not a default terrain runtime path and lacks CI gate integration.,"No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
scripts/build_scene_v3.py,make_water_material,D+,D+,ADD_CI_GATE_OR_WIRE,Standalone script callable with no callable-wiring row; not a default terrain runtime path and lacks CI gate integration.,"No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
scripts/build_scene_v3.py,build_water_surfaces,D+,D+,ADD_CI_GATE_OR_WIRE,Standalone script callable with no callable-wiring row; not a default terrain runtime path and lacks CI gate integration.,"No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
veilbreakers_terrain/handlers/_biome_grammar.py,compute_spring_line_mask,D+,D+,DEPRECATE_OR_REMOVE,R12 wiring scan marks orphan_candidate; no practical production runtime caller was accepted for strict audit.,"No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
veilbreakers_terrain/handlers/_biome_grammar.py,apply_hot_spring_features,C,C,WIRE_OR_DEPRECATE,Test-only or unwired according to R12; needs production wiring or removal before any higher grade.,"No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
veilbreakers_terrain/handlers/_scatter_engine.py,generate_waterfall,C+,C+,ADD_LIVE_VISUAL_GOLDEN,"Helper reachable from runtime/test paths, but strict B evidence is incomplete without live visual/engine proof.","No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
veilbreakers_terrain/handlers/_terrain_depth.py,generate_waterfall_mesh,C,D+,DEPRECATE_OR_REMOVE,R12 marks test_only_or_unwired and practical scan found no accepted production caller; treat as dead/unwired.,"No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
veilbreakers_terrain/handlers/_terrain_erosion.py,compute_stream_power_erosion,C+,C+,ADD_LIVE_VISUAL_GOLDEN,"Helper reachable from runtime/test paths, but strict B evidence is incomplete without live visual/engine proof.","No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
veilbreakers_terrain/handlers/_terrain_erosion.py,compute_stream_power_erosion._build_receivers,C,C,ADD_DIRECT_TESTS,"Helper reachable, but direct tests and parent-surface proof are incomplete.","No attached per-callable live visual/engine proof; missing strict hydrology outputs, seam continuity, and rendered water proof."
